race_id,race_date,track,race_no,race_type,car_no,player_name,finish_position,finish_text,margin,last200,winning_method,sb,result_comment,result_source_url,result_source,captured_at_utc,raw_row_json
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,1,鈴木 薫,2,2,１/２車輪,12.0,ク,S,先行の番手,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,"{""cells"": [""×"", ""2"", ""1"", ""鈴木 薫"", ""１/２車輪"", ""12.0"", ""ク"", ""S"", ""先行の番手""], ""row_class"": []}"
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,2,泉 慶輔,5,5,１/２車身,12.1,,,離れ内踏む,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,"{""cells"": [""○"", ""5"", ""2"", ""泉 慶輔"", ""１/２車身"", ""12.1"", """", """", ""離れ内踏む""], ""row_class"": []}"
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,3,真船 圭一郎,,落,,,,,３角で落車,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,"{""cells"": [""△"", ""落"", ""3"", ""真船 圭一郎"", """", """", """", """", ""３角で落車""], ""row_class"": []}"
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,4,寺沼 拓摩,1,1,,12.2,逃,B,捲張り逃切,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,"{""cells"": [""注"", ""1"", ""4"", ""寺沼 拓摩"", """", ""12.2"", ""逃"", ""B"", ""捲張り逃切""], ""row_class"": []}"
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,5,大槻 寛徳,3,3,２車身,12.3,,,自ら捲って,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,"{""cells"": [""◎"", ""3"", ""5"", ""大槻 寛徳"", ""２車身"", ""12.3"", """", """", ""自ら捲って""], ""row_class"": []}"
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,6,矢島 一弥,4,4,３/４車輪,12.1,,,真船と併走,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,"{""cells"": [""▲"", ""4"", ""6"", ""矢島 一弥"", ""３/４車輪"", ""12.1"", """", """", ""真船と併走""], ""row_class"": []}"
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,1,川村 晃司,1,1,,11.4,捲,,吉田昌捲る,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,"{""cells"": [""×"", ""1"", ""1"", ""川村 晃司"", """", ""11.4"", ""捲"", """", ""吉田昌捲る""], ""row_class"": []}"
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,2,相澤 政宏,4,4,１車身,11.7,,S,一緒捲られ,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,"{""cells"": [""注"", ""4"", ""2"", ""相澤 政宏"", ""１車身"", ""11.7"", """", ""S"", ""一緒捲られ""], ""row_class"": []}"
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,3,岡 光良,3,3,３車身,11.7,,,吉田昌利し,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,"{""cells"": [""○"", ""3"", ""3"", ""岡 光良"", ""３車身"", ""11.7"", """", """", ""吉田昌利し""], ""row_class"": []}"
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,4,吉田 昌司,6,6,１/２車輪,12.2,,B,川村捲られ,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,"{""cells"": [""◎"", ""6"", ""4"", ""吉田 昌司"", ""１/２車輪"", ""12.2"", """", ""B"", ""川村捲られ""], ""row_class"": []}"
