strategy,segment,race_id,race_date,month,track,race_no,formation,bets,stake_yen,payout_yen,profit_yen,hit,A,B,M3,R1L,R1B,pair_score_gap,pair_win_gap,rival_top3,pair_top3_gap,r1l_score,main_top2
early,前半,4320260314010007,2026-03-14,2026-03,岐阜競輪,7,MIX2,7-3-1|5-1-3,200,0,-200,0,7,3,4,5,1,2.5600000000000023,-12.100000000000001,59.599999999999994,0.4000000000000057,96.38,29.0
early,前半,6120260316010007,2026-03-16,2026-03,玉野競輪,7,MIX2,2-7-3|5-3-7,200,0,-200,0,2,7,4,5,3,5.510000000000019,-11.399999999999999,73.0,13.299999999999997,98.66,52.2
early,前半,2220260320010006,2026-03-20,2026-03,前橋競輪,6,MIX2,7-2-5|1-5-2,200,0,-200,0,7,2,4,1,5,2.1100000000000136,-6.400000000000002,75.9,10.099999999999994,100.38,57.8
early,前半,8720260320010008,2026-03-20,2026-03,熊本競輪,8,MIX2,2-5-1|7-1-5,200,0,-200,0,2,5,4,7,1,5.730000000000018,-1.6999999999999993,90.7,0.8999999999999915,100.05,55.0
late,後半,3820260323010010,2026-03-23,2026-03,静岡競輪,10,MAIN4_X,5-1-4|1-5-4|5-1-7|1-5-7,400,0,-400,0,5,1,4,7,3,3.9799999999999613,-8.200000000000003,81.19999999999999,11.0,101.0,61.3
early,前半,8320260327010009,2026-03-27,2026-03,久留米競輪,9,MIX2,3-4-2|5-2-4,200,0,-200,0,3,4,7,5,2,5.949999999999989,-11.0,81.2,-5.0,98.31,48.3
early,前半,2720260401010006,2026-04-01,2026-04,京王閣競輪,6,MIX2,7-2-1|5-1-2,200,0,-200,0,7,2,4,5,1,0.020000000000038654,-24.0,82.8,1.8999999999999915,103.33,49.6
late,後半,2720260401010010,2026-04-01,2026-04,京王閣競輪,10,MAIN4_X,5-1-6|1-5-6|5-1-2|1-5-2,400,0,-400,0,5,1,6,2,7,9.850000000000023,15.899999999999999,85.69999999999999,-7.599999999999994,100.42,53.1
late,後半,2720260401010011,2026-04-01,2026-04,京王閣競輪,11,MAIN4_X,1-7-4|7-1-4|1-7-2|7-1-2,400,0,-400,0,1,7,4,5,2,3.8799999999999955,-4.0,81.1,18.900000000000006,100.0,58.400000000000006
early,前半,5620260401010006,2026-04-01,2026-04,岸和田競輪,6,MIX2,5-7-4|1-4-7,200,0,-200,0,5,7,2,1,4,1.2299999999999898,-16.5,94.3,4.200000000000003,101.28,71.2
