race_id,purchased,reason,winner,winner_selected,winner_kind,stake_yen,payout_yen,profit_yen,ticket_count,main_count,middle_count,hole_count,middle_candidates,hole_candidates,min_hit_roi_pct,tickets
1120240418010006,1,,1-2-7,0,,400,0,-400,4,1,1,2,1,2,110.0,main:1-2-4@4.4x1u | middle:1-2-3@8.7x1u | hole:3-5-6@28.1x1u | hole:3-5-7@54.0x1u
1120240418010007,1,,1-3-4,1,middle,1000,1460.0,460.0,7,1,4,2,4,2,135.0,main:3-4-7@4.5x3u | middle:1-3-4@7.3x2u | middle:2-3-7@22.6x1u | middle:3-4-6@70.6x1u | middle:3-4-5@26.0x1u | hole:1-2-5@30.2x1u | hole:1-5-6@77.9x1u
1120240418010008,1,,2-5-6,1,main,1000,1290.0,290.0,7,1,3,3,3,3,103.0,main:2-5-6@4.3x3u | middle:1-2-5@7.3x2u | middle:2-5-7@17.6x1u | middle:2-4-5@10.3x1u | hole:3-4-7@41.2x1u | hole:1-2-3@22.9x1u | hole:1-3-4@29.4x1u
1120240418010009,1,,2-5-7,1,middle,800,1950.0,1150.0,5,1,3,1,3,1,101.25,main:1-5-7@2.7x3u | middle:2-5-7@19.5x1u | middle:1-3-7@4.7x2u | middle:5-6-7@57.3x1u | hole:3-4-7@16.7x1u
1120240418010010,1,,2-4-5,1,middle,600,800.0,200.0,5,1,3,1,3,1,113.333333,main:2-4-7@3.4x2u | middle:1-2-7@13.5x1u | middle:2-4-5@8.0x1u | middle:2-6-7@50.9x1u | hole:1-4-5@20.4x1u
1120240418010011,1,,1-3-7,0,,900,0,-900,6,1,3,2,3,2,112.222222,main:3-4-7@2.6x4u | middle:2-3-7@10.1x1u | middle:3-5-7@18.9x1u | middle:3-6-7@20.5x1u | hole:1-4-5@17.8x1u | hole:1-6-7@98.6x1u
1120240509010006,1,,1-4-5,0,,900,0,-900,7,1,2,4,2,4,130.0,main:1-2-4@3.9x3u | middle:2-4-5@22.5x1u | middle:1-4-6@99.4x1u | hole:2-3-5@18.1x1u | hole:2-3-6@72.9x1u | hole:2-6-7@125.8x1u | hole:3-5-6@422.7x1u
1120240509010007,1,,1-2-7,0,,500,0,-500,4,1,1,2,1,2,120.0,main:1-5-7@3.0x2u | middle:1-4-7@23.4x1u | hole:2-3-4@21.1x1u | hole:3-4-6@48.6x1u
1120240509010008,1,,1-3-7,0,,900,0,-900,7,1,2,4,2,4,120.0,main:1-3-5@3.6x3u | middle:3-4-5@23.2x1u | middle:3-5-6@25.7x1u | hole:3-4-6@12.2x1u | hole:3-4-7@25.8x1u | hole:3-6-7@24.5x1u | hole:2-6-7@130.7x1u
1120240509010009,1,,2-4-5,0,,200,0,-200,2,1,1,0,1,0,205.0,main:1-5-7@4.1x1u | middle:2-5-7@11.0x1u
1120240509010010,1,,1-3-5,0,,500,0,-500,5,1,2,2,2,2,114.0,main:1-4-7@5.7x1u | middle:1-3-4@6.1x1u | middle:1-4-6@18.7x1u | hole:2-3-6@30.2x1u | hole:3-5-7@124.0x1u
1120240509010011,1,,2-4-7,0,,200,0,-200,2,1,1,0,1,0,110.0,main:2-4-5@2.2x1u | middle:2-3-5@28.6x1u
1120240529010006,1,,1-5-7,1,main,400,490.0,90.0,4,1,2,1,2,1,122.5,main:1-5-7@4.9x1u | middle:1-5-6@53.5x1u | middle:1-4-5@37.8x1u | hole:2-3-7@71.6x1u
1120240529010007,1,,1-5-7,0,,700,0,-700,5,1,2,2,2,2,107.142857,main:2-4-7@2.5x3u | middle:2-3-7@14.3x1u | middle:2-6-7@39.8x1u | hole:2-3-5@57.8x1u | hole:2-5-6@165.8x1u
1120240529010008,1,,1-3-4,0,,300,0,-300,3,1,2,0,2,0,126.666667,main:1-4-7@3.8x1u | middle:1-3-7@4.2x1u | middle:1-4-5@53.1x1u
