race_id,race_date,track,meeting_grade,race_no,race_type,start_time,deadline,source_url,captured_at_utc,car_no,player_name,player_profile,prefecture,age,term,class,style,gear,score,s_count,b_count,nige_count,makuri_count,sashi_count,mark_count,first_count,second_count,third_count,outside_count,win_rate,top2_rate,top3_rate,prediction_mark,evaluation,raw_row_json
1120241001010006,2024-10-01,函館競輪,F1,6,Ｓ級予選,17:45,17:40,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010006/?pageType=result,2026-08-31T03:13:11.356056+00:00,1,林 昌幸,愛 媛/22/119,愛媛,22,119,S2,逃,3.92,98.24,2,13,6,1,0,0,1,6,2,16,4.0,28.0,36.0,注,5,"{""cells"": [""注"", """", ""5"", ""1"", ""1"", ""林 昌幸 愛 媛/22/119"", ""S2"", ""逃"", ""3.92"", ""98.24"", ""2"", ""13"", ""6"", ""1"", ""0"", ""0"", ""1"", ""6"", ""2"", ""16"", ""4.0"", ""28.0"", ""36.0""], ""row_class"": [""n1""]}"
1120241001010006,2024-10-01,函館競輪,F1,6,Ｓ級予選,17:45,17:40,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010006/?pageType=result,2026-08-31T03:13:11.356056+00:00,2,荻原 尚人,宮 城/40/89,宮城,40,89,S1,追,3.92,100.75,6,0,0,0,3,6,2,7,3,16,7.1,32.1,42.8,×,4,"{""cells"": [""×"", """", ""4"", ""2"", ""2"", ""荻原 尚人 宮 城/40/89"", ""S1"", ""追"", ""3.92"", ""100.75"", ""6"", ""0"", ""0"", ""0"", ""3"", ""6"", ""2"", ""7"", ""3"", ""16"", ""7.1"", ""32.1"", ""42.8""], ""row_class"": [""n2""]}"
1120241001010006,2024-10-01,函館競輪,F1,6,Ｓ級予選,17:45,17:40,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010006/?pageType=result,2026-08-31T03:13:11.356056+00:00,3,岸澤 賢太,埼 玉/37/91,埼玉,37,91,S2,両,3.92,100.26,1,4,1,1,4,1,5,2,5,14,19.2,26.9,46.1,○,4,"{""cells"": [""○"", """", ""4"", ""3"", ""3"", ""岸澤 賢太 埼 玉/37/91"", ""S2"", ""両"", ""3.92"", ""100.26"", ""1"", ""4"", ""1"", ""1"", ""4"", ""1"", ""5"", ""2"", ""5"", ""14"", ""19.2"", ""26.9"", ""46.1""], ""row_class"": [""n3""]}"
1120241001010006,2024-10-01,函館競輪,F1,6,Ｓ級予選,17:45,17:40,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010006/?pageType=result,2026-08-31T03:13:11.356056+00:00,4,中村 昌弘,広 島/47/81,広島,47,81,S2,追,3.92,97.45,1,0,0,0,3,0,3,0,0,18,14.2,14.2,14.2,△,5,"{""cells"": [""△"", """", ""5"", ""4"", ""4"", ""中村 昌弘 広 島/47/81"", ""S2"", ""追"", ""3.92"", ""97.45"", ""1"", ""0"", ""0"", ""0"", ""3"", ""0"", ""3"", ""0"", ""0"", ""18"", ""14.2"", ""14.2"", ""14.2""], ""row_class"": [""n4""]}"
1120241001010006,2024-10-01,函館競輪,F1,6,Ｓ級予選,17:45,17:40,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010006/?pageType=result,2026-08-31T03:13:11.356056+00:00,5,岡田 征陽,東 京/44/85,東京,44,85,S2,追,3.92,101.77,2,0,0,0,5,4,2,7,5,14,7.1,32.1,50.0,◎,4,"{""cells"": [""◎"", """", ""4"", ""5"", ""5"", ""岡田 征陽 東 京/44/85"", ""S2"", ""追"", ""3.92"", ""101.77"", ""2"", ""0"", ""0"", ""0"", ""5"", ""4"", ""2"", ""7"", ""5"", ""14"", ""7.1"", ""32.1"", ""50.0""], ""row_class"": [""n5""]}"
1120241001010006,2024-10-01,函館競輪,F1,6,Ｓ級予選,17:45,17:40,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010006/?pageType=result,2026-08-31T03:13:11.356056+00:00,6,相澤 政宏,宮 城/45/99,宮城,45,99,S2,追,3.92,93.61,1,0,0,0,0,1,0,1,2,23,0.0,3.8,11.5,,6,"{""cells"": ["""", """", ""6"", ""6"", ""6"", ""相澤 政宏 宮 城/45/99"", ""S2"", ""追"", ""3.92"", ""93.61"", ""1"", ""0"", ""0"", ""0"", ""0"", ""1"", ""0"", ""1"", ""2"", ""23"", ""0.0"", ""3.8"", ""11.5""], ""row_class"": [""n6""]}"
1120241001010006,2024-10-01,函館競輪,F1,6,Ｓ級予選,17:45,17:40,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010006/?pageType=result,2026-08-31T03:13:11.356056+00:00,7,原田 泰志,新 潟/38/91,新潟,38,91,S2,追,3.93,97.31,4,0,0,0,2,1,0,3,0,19,0.0,13.6,13.6,▲,5,"{""cells"": [""▲"", """", ""5"", ""7"", ""原田 泰志 新 潟/38/91"", ""S2"", ""追"", ""3.93"", ""97.31"", ""4"", ""0"", ""0"", ""0"", ""2"", ""1"", ""0"", ""3"", ""0"", ""19"", ""0.0"", ""13.6"", ""13.6""], ""row_class"": [""n7""]}"
1120241001010007,2024-10-01,函館競輪,F1,7,Ｓ級予選,18:10,18:05,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010007/?pageType=result,2026-08-31T03:13:12.940129+00:00,1,石毛 克幸,千 葉/47/84,千葉,47,84,S2,追,3.92,102.07,2,0,0,2,6,2,5,5,1,15,19.2,38.4,42.3,×,4,"{""cells"": [""×"", """", ""4"", ""1"", ""1"", ""石毛 克幸 千 葉/47/84"", ""S2"", ""追"", ""3.92"", ""102.07"", ""2"", ""0"", ""0"", ""2"", ""6"", ""2"", ""5"", ""5"", ""1"", ""15"", ""19.2"", ""38.4"", ""42.3""], ""row_class"": [""n1""]}"
1120241001010007,2024-10-01,函館競輪,F1,7,Ｓ級予選,18:10,18:05,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010007/?pageType=result,2026-08-31T03:13:12.940129+00:00,2,神山 雄一郎,栃 木/56/61,栃木,56,61,S2,追,3.92,98.50,0,0,0,0,0,2,0,2,2,11,0.0,13.3,26.6,○,5,"{""cells"": [""○"", """", ""5"", ""2"", ""2"", ""神山 雄一郎 栃 木/56/61"", ""S2"", ""追"", ""3.92"", ""98.50"", ""0"", ""0"", ""0"", ""0"", ""0"", ""2"", ""0"", ""2"", ""2"", ""11"", ""0.0"", ""13.3"", ""26.6""], ""row_class"": [""n2""]}"
1120241001010007,2024-10-01,函館競輪,F1,7,Ｓ級予選,18:10,18:05,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010007/?pageType=result,2026-08-31T03:13:12.940129+00:00,3,高木 和仁,福 岡/50/76,福岡,50,76,S2,追,3.92,94.84,0,0,0,0,1,1,1,1,4,19,4.0,8.0,24.0,,6,"{""cells"": ["""", """", ""6"", ""3"", ""3"", ""高木 和仁 福 岡/50/76"", ""S2"", ""追"", ""3.92"", ""94.84"", ""0"", ""0"", ""0"", ""0"", ""1"", ""1"", ""1"", ""1"", ""4"", ""19"", ""4.0"", ""8.0"", ""24.0""], ""row_class"": [""n3""]}"
1120241001010007,2024-10-01,函館競輪,F1,7,Ｓ級予選,18:10,18:05,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010007/?pageType=result,2026-08-31T03:13:12.940129+00:00,4,滝本 幸正,新 潟/26/121,新潟,26,121,S2,逃,3.92,100.23,1,6,3,0,2,0,3,2,3,5,23.0,38.4,61.5,◎,4,"{""cells"": [""◎"", """", ""4"", ""4"", ""4"", ""滝本 幸正 新 潟/26/121"", ""S2"", ""逃"", ""3.92"", ""100.23"", ""1"", ""6"", ""3"", ""0"", ""2"", ""0"", ""3"", ""2"", ""3"", ""5"", ""23.0"", ""38.4"", ""61.5""], ""row_class"": [""n4""]}"
1120241001010007,2024-10-01,函館競輪,F1,7,Ｓ級予選,18:10,18:05,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010007/?pageType=result,2026-08-31T03:13:12.940129+00:00,5,横内 裕人,愛 媛/32/100,愛媛,32,100,S2,両,3.92,95.80,0,4,1,1,0,0,1,1,4,19,4.0,8.0,24.0,注,5,"{""cells"": [""注"", """", ""5"", ""5"", ""5"", ""横内 裕人 愛 媛/32/100"", ""S2"", ""両"", ""3.92"", ""95.80"", ""0"", ""4"", ""1"", ""1"", ""0"", ""0"", ""1"", ""1"", ""4"", ""19"", ""4.0"", ""8.0"", ""24.0""], ""row_class"": [""n5""]}"
1120241001010007,2024-10-01,函館競輪,F1,7,Ｓ級予選,18:10,18:05,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010007/?pageType=result,2026-08-31T03:13:12.940129+00:00,6,金田 涼馬,神奈川/26/119,神奈川,26,119,S2,逃,3.93,94.33,15,15,2,1,0,0,1,2,2,22,3.7,11.1,18.5,▲,6,"{""cells"": [""▲"", """", ""6"", ""6"", ""6"", ""金田 涼馬 神奈川/26/119"", ""S2"", ""逃"", ""3.93"", ""94.33"", ""15"", ""15"", ""2"", ""1"", ""0"", ""0"", ""1"", ""2"", ""2"", ""22"", ""3.7"", ""11.1"", ""18.5""], ""row_class"": [""n6""]}"
1120241001010007,2024-10-01,函館競輪,F1,7,Ｓ級予選,18:10,18:05,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010007/?pageType=result,2026-08-31T03:13:12.940129+00:00,7,小林 圭介,茨 城/48/83,茨城,48,83,S2,追,3.92,98.28,0,0,0,0,4,1,0,5,5,19,0.0,17.2,34.4,△,5,"{""cells"": [""△"", """", ""5"", ""7"", ""小林 圭介 茨 城/48/83"", ""S2"", ""追"", ""3.92"", ""98.28"", ""0"", ""0"", ""0"", ""0"", ""4"", ""1"", ""0"", ""5"", ""5"", ""19"", ""0.0"", ""17.2"", ""34.4""], ""row_class"": [""n7""]}"
1120241001010008,2024-10-01,函館競輪,F1,8,Ｓ級予選,18:35,18:30,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010008/?pageType=result,2026-08-31T03:13:15.587635+00:00,1,渡口 勝成,山 口/27/119,山口,27,119,S2,逃,3.92,102.47,0,11,3,2,0,0,4,1,5,12,18.1,22.7,45.4,○,4,"{""cells"": [""○"", """", ""4"", ""1"", ""1"", ""渡口 勝成 山 口/27/119"", ""S2"", ""逃"", ""3.92"", ""102.47"", ""0"", ""11"", ""3"", ""2"", ""0"", ""0"", ""4"", ""1"", ""5"", ""12"", ""18.1"", ""22.7"", ""45.4""], ""row_class"": [""n1""]}"
1120241001010008,2024-10-01,函館競輪,F1,8,Ｓ級予選,18:35,18:30,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010008/?pageType=result,2026-08-31T03:13:15.587635+00:00,2,櫻井 学,群 馬/44/84,群馬,44,84,S2,両,3.92,94.00,1,0,0,0,0,0,0,0,2,14,0.0,0.0,12.5,△,6,"{""cells"": [""△"", """", ""6"", ""2"", ""2"", ""櫻井 学 群 馬/44/84"", ""S2"", ""両"", ""3.92"", ""94.00"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""2"", ""14"", ""0.0"", ""0.0"", ""12.5""], ""row_class"": [""n2""]}"
1120241001010008,2024-10-01,函館競輪,F1,8,Ｓ級予選,18:35,18:30,https://keirin.kdreams.jp/hakodate/racedetail/1120241001010008/?pageType=result,2026-08-31T03:13:15.587635+00:00,3,東 龍之介,神奈川/34/96,神奈川,34,96,S2,追,3.92,104.13,1,0,0,0,4,5,2,7,3,11,8.6,39.1,52.1,×,3,"{""cells"": [""×"", """", ""3"", ""3"", ""3"", ""東 龍之介 神奈川/34/96"", ""S2"", ""追"", ""3.92"", ""104.13"", ""1"", ""0"", ""0"", ""0"", ""4"", ""5"", ""2"", ""7"", ""3"", ""11"", ""8.6"", ""39.1"", ""52.1""], ""row_class"": [""n3""]}"
