race_id,race_date,track,meeting_grade,race_no,race_type,start_time,deadline,entry_count,source_url,captured_at_utc
4220250701010008,2025-07-01,名古屋競輪,F1,8,Ｓ級予選,18:22,18:17,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701010008/?pageType=result,2026-08-31T05:38:41.458947+00:00
4220250701010009,2025-07-01,名古屋競輪,F1,9,Ｓ級予選,18:48,18:43,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701010009/?pageType=result,2026-08-31T05:38:43.044655+00:00
4220250701010010,2025-07-01,名古屋競輪,F1,10,Ｓ級予選,19:18,19:13,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701010010/?pageType=result,2026-08-31T05:38:45.960728+00:00
4220250701010011,2025-07-01,名古屋競輪,F1,11,Ｓ級予選,19:48,19:43,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701010011/?pageType=result,2026-08-31T05:38:47.847927+00:00
4220250701010012,2025-07-01,名古屋競輪,F1,12,Ｓ級初日特選,20:19,20:14,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701010012/?pageType=result,2026-08-31T05:38:49.546182+00:00
5620250629030005,2025-07-01,岸和田競輪,F1,5,Ｓ級一般,12:36,12:31,6,https://keirin.kdreams.jp/kishiwada/racedetail/5620250629030005/?pageType=result,2026-08-31T05:36:53.813153+00:00
5620250629030006,2025-07-01,岸和田競輪,F1,6,Ｓ級一般,13:04,12:59,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250629030006/?pageType=result,2026-08-31T05:36:55.377481+00:00
5620250629030007,2025-07-01,岸和田競輪,F1,7,Ｓ級一般,13:32,13:27,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250629030007/?pageType=result,2026-08-31T05:36:56.965231+00:00
5620250629030009,2025-07-01,岸和田競輪,F1,9,Ｓ級特選,14:31,14:26,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250629030009/?pageType=result,2026-08-31T05:37:00.058550+00:00
5620250629030010,2025-07-01,岸和田競輪,F1,10,Ｓ級特選,15:01,14:56,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250629030010/?pageType=result,2026-08-31T05:37:01.815016+00:00
5620250629030011,2025-07-01,岸和田競輪,F1,11,Ｓ級特選,15:32,15:27,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250629030011/?pageType=result,2026-08-31T05:37:03.615628+00:00
5620250629030012,2025-07-01,岸和田競輪,F1,12,Ｓ級決勝,16:04,15:59,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250629030012/?pageType=result,2026-08-31T05:37:05.196519+00:00
3420250630020007,2025-07-01,川崎競輪,F1,7,Ｓ級一般,18:30,18:25,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420250630020007/?pageType=result,2026-08-31T05:36:13.906035+00:00
3420250630020008,2025-07-01,川崎競輪,F1,8,Ｓ級一般,18:58,18:53,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420250630020008/?pageType=result,2026-08-31T05:36:15.627004+00:00
3420250630020009,2025-07-01,川崎競輪,F1,9,Ｓ級準決勝,19:28,19:23,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420250630020009/?pageType=result,2026-08-31T05:36:17.156911+00:00
3420250630020010,2025-07-01,川崎競輪,F1,10,Ｓ級準決勝,19:58,19:53,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420250630020010/?pageType=result,2026-08-31T05:36:21.336818+00:00
3420250630020011,2025-07-01,川崎競輪,F1,11,Ｓ級準決勝,20:30,20:25,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420250630020011/?pageType=result,2026-08-31T05:36:24.931589+00:00
4220250701020008,2025-07-02,名古屋競輪,F1,8,Ｓ級一般,18:28,18:23,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701020008/?pageType=result,2026-08-31T05:38:51.096683+00:00
4220250701020009,2025-07-02,名古屋競輪,F1,9,Ｓ級一般,18:53,18:48,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701020009/?pageType=result,2026-08-31T05:38:54.095588+00:00
4220250701020010,2025-07-02,名古屋競輪,F1,10,Ｓ級準決勝,19:20,19:15,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701020010/?pageType=result,2026-08-31T05:38:55.951745+00:00
4220250701020011,2025-07-02,名古屋競輪,F1,11,Ｓ級準決勝,19:48,19:43,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701020011/?pageType=result,2026-08-31T05:38:57.726679+00:00
4220250701020012,2025-07-02,名古屋競輪,F1,12,Ｓ級準決勝,20:19,20:14,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701020012/?pageType=result,2026-08-31T05:38:59.276069+00:00
3420250630030005,2025-07-02,川崎競輪,F1,5,Ｓ級一般,17:48,17:43,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420250630030005/?pageType=result,2026-08-31T05:36:26.934784+00:00
3420250630030006,2025-07-02,川崎競輪,F1,6,Ｓ級一般,18:12,18:07,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420250630030006/?pageType=result,2026-08-31T05:36:28.708247+00:00
3420250630030007,2025-07-02,川崎競輪,F1,7,Ｓ級特選,18:36,18:31,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420250630030007/?pageType=result,2026-08-31T05:36:30.272975+00:00
3420250630030008,2025-07-02,川崎競輪,F1,8,Ｓ級特選,19:02,18:57,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420250630030008/?pageType=result,2026-08-31T05:36:31.847320+00:00
3420250630030011,2025-07-02,川崎競輪,F1,11,Ｓ級決勝,20:30,20:25,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420250630030011/?pageType=result,2026-08-31T05:36:33.404131+00:00
2820250702010006,2025-07-02,立川競輪,F1,6,Ｓ級予選,13:07,13:02,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820250702010006/?pageType=result,2026-08-31T05:39:08.961046+00:00
2820250702010007,2025-07-02,立川競輪,F1,7,Ｓ級予選,13:36,13:31,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820250702010007/?pageType=result,2026-08-31T05:39:10.500048+00:00
2820250702010008,2025-07-02,立川競輪,F1,8,Ｓ級予選,14:05,14:00,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820250702010008/?pageType=result,2026-08-31T05:39:12.116841+00:00
2820250702010009,2025-07-02,立川競輪,F1,9,Ｓ級予選,14:34,14:29,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820250702010009/?pageType=result,2026-08-31T05:39:14.723124+00:00
2820250702010010,2025-07-02,立川競輪,F1,10,Ｓ級予選,15:06,15:01,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820250702010010/?pageType=result,2026-08-31T05:39:16.643641+00:00
2820250702010011,2025-07-02,立川競輪,F1,11,Ｓ級予選,15:38,15:33,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820250702010011/?pageType=result,2026-08-31T05:39:18.339390+00:00
2820250702010012,2025-07-02,立川競輪,F1,12,Ｓ級初特選,16:10,16:05,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820250702010012/?pageType=result,2026-08-31T05:39:19.891042+00:00
4220250701030006,2025-07-03,名古屋競輪,F1,6,Ｓ級一般,17:55,17:50,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701030006/?pageType=result,2026-08-31T05:39:00.883250+00:00
4220250701030007,2025-07-03,名古屋競輪,F1,7,Ｓ級一般,18:19,18:14,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701030007/?pageType=result,2026-08-31T05:39:02.447633+00:00
4220250701030008,2025-07-03,名古屋競輪,F1,8,Ｓ級特選,18:43,18:38,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701030008/?pageType=result,2026-08-31T05:39:04.122183+00:00
4220250701030009,2025-07-03,名古屋競輪,F1,9,Ｓ級特選,19:07,19:02,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701030009/?pageType=result,2026-08-31T05:39:05.718778+00:00
4220250701030012,2025-07-03,名古屋競輪,F1,12,Ｓ級決勝,20:30,20:25,7,https://keirin.kdreams.jp/nagoya/racedetail/4220250701030012/?pageType=result,2026-08-31T05:39:07.274057+00:00
2820250702020006,2025-07-03,立川競輪,F1,6,Ｓ級一般,13:01,12:56,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820250702020006/?pageType=result,2026-08-31T05:39:21.583410+00:00
2820250702020007,2025-07-03,立川競輪,F1,7,Ｓ級一般,13:31,13:26,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820250702020007/?pageType=result,2026-08-31T05:39:23.154821+00:00
