race_id,race_date,track,race_no,race_type,odds_source_url,error
4420231231020007,2024-01-01,大垣競輪,7,Ｓ級一般,https://keirin.kdreams.jp/ogaki/racedetail/4420231231020007/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
8620240103010008,2024-01-03,別府競輪,8,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240103010008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [1]; found=[2, 3, 4, 5, 6, 7]"
7420240103010011,2024-01-03,高知競輪,11,Ｓ級予選,https://keirin.kdreams.jp/kochi/racedetail/7420240103010011/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
4220240128010012,2024-01-28,名古屋競輪,12,Ｓ級初特選,https://keirin.kdreams.jp/nagoya/racedetail/4220240128010012/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
4220240128020009,2024-01-29,名古屋競輪,9,Ｓ級選抜,https://keirin.kdreams.jp/nagoya/racedetail/4220240128020009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 3
8120240131010012,2024-01-31,小倉競輪,12,Ｓ級初日特選,https://keirin.kdreams.jp/kokura/racedetail/8120240131010012/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [6]; found=[1, 2, 3, 4, 5, 7]"
5620240205030006,2024-02-07,岸和田競輪,6,Ｓ級一般,https://keirin.kdreams.jp/kishiwada/racedetail/5620240205030006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [7]; found=[1, 2, 3, 4, 5, 6]"
7520240223010009,2024-02-23,松山競輪,9,Ｓ級予選,https://keirin.kdreams.jp/matsuyama/racedetail/7520240223010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [7]; found=[1, 2, 3, 4, 5, 6]"
8320240225010006,2024-02-25,久留米競輪,6,Ｓ級予選,https://keirin.kdreams.jp/kurume/racedetail/8320240225010006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [3]; found=[1, 2, 4, 5, 6, 7]"
4320240225020006,2024-02-26,岐阜競輪,6,Ｓ級一般,https://keirin.kdreams.jp/gifu/racedetail/4320240225020006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
2820240308010009,2024-03-08,立川競輪,9,Ｓ級予選,https://keirin.kdreams.jp/tachikawa/racedetail/2820240308010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
2820240308030005,2024-03-10,立川競輪,5,Ｓ級一般,https://keirin.kdreams.jp/tachikawa/racedetail/2820240308030005/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [4]; found=[1, 2, 3, 5, 6]"
8620240311010008,2024-03-11,別府競輪,8,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240311010008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311010009,2024-03-11,別府競輪,9,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240311010009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311010010,2024-03-11,別府競輪,10,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240311010010/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311010011,2024-03-11,別府競輪,11,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240311010011/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311010012,2024-03-11,別府競輪,12,Ｓ級初日特選,https://keirin.kdreams.jp/beppu/racedetail/8620240311010012/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311020008,2024-03-12,別府競輪,8,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240311020008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311020009,2024-03-12,別府競輪,9,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240311020009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311020010,2024-03-12,別府競輪,10,Ｓ級準決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240311020010/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311020011,2024-03-12,別府競輪,11,Ｓ級準決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240311020011/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311020012,2024-03-12,別府競輪,12,Ｓ級準決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240311020012/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311030006,2024-03-13,別府競輪,6,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240311030006/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311030007,2024-03-13,別府競輪,7,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240311030007/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311030008,2024-03-13,別府競輪,8,Ｓ級特選,https://keirin.kdreams.jp/beppu/racedetail/8620240311030008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311030009,2024-03-13,別府競輪,9,Ｓ級特選,https://keirin.kdreams.jp/beppu/racedetail/8620240311030009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311030012,2024-03-13,別府競輪,12,Ｓ級決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240311030012/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
5120240311030012,2024-03-13,福井競輪,12,Ｓ級決勝,https://keirin.kdreams.jp/fukui/racedetail/5120240311030012/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [4]; found=[1, 2, 3, 5, 6, 7]"
6120240325030008,2024-03-27,玉野競輪,8,Ｓ級特選,https://keirin.kdreams.jp/tamano/racedetail/6120240325030008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
