race_id,race_date,track,meeting_grade,race_no,race_type,start_time,deadline,entry_count,source_url,captured_at_utc
3720250101010008,2025-01-01,伊東競輪,F1,8,Ｓ級予選,18:25,18:20,7,https://keirin.kdreams.jp/ito/racedetail/3720250101010008/?pageType=result,2026-08-31T05:29:09.792363+00:00
3720250101010009,2025-01-01,伊東競輪,F1,9,Ｓ級予選,18:53,18:48,7,https://keirin.kdreams.jp/ito/racedetail/3720250101010009/?pageType=result,2026-08-31T05:29:11.347717+00:00
3720250101010010,2025-01-01,伊東競輪,F1,10,Ｓ級予選,19:23,19:18,7,https://keirin.kdreams.jp/ito/racedetail/3720250101010010/?pageType=result,2026-08-31T05:29:12.836599+00:00
3720250101010011,2025-01-01,伊東競輪,F1,11,Ｓ級予選,19:53,19:48,7,https://keirin.kdreams.jp/ito/racedetail/3720250101010011/?pageType=result,2026-08-31T05:29:14.381904+00:00
3720250101010012,2025-01-01,伊東競輪,F1,12,Ｓ級初日特選,20:25,20:20,7,https://keirin.kdreams.jp/ito/racedetail/3720250101010012/?pageType=result,2026-08-31T05:29:15.892747+00:00
2220250101010006,2025-01-01,前橋競輪,F1,6,Ｓ級予選,13:26,13:21,7,https://keirin.kdreams.jp/maebashi/racedetail/2220250101010006/?pageType=result,2026-08-31T05:30:17.075205+00:00
2220250101010007,2025-01-01,前橋競輪,F1,7,Ｓ級予選,13:58,13:53,7,https://keirin.kdreams.jp/maebashi/racedetail/2220250101010007/?pageType=result,2026-08-31T05:30:18.616337+00:00
2220250101010008,2025-01-01,前橋競輪,F1,8,Ｓ級予選,14:30,14:25,7,https://keirin.kdreams.jp/maebashi/racedetail/2220250101010008/?pageType=result,2026-08-31T05:30:20.118679+00:00
2220250101010009,2025-01-01,前橋競輪,F1,9,Ｓ級予選,15:02,14:57,7,https://keirin.kdreams.jp/maebashi/racedetail/2220250101010009/?pageType=result,2026-08-31T05:30:21.696959+00:00
2220250101010010,2025-01-01,前橋競輪,F1,10,Ｓ級予選,15:34,15:29,7,https://keirin.kdreams.jp/maebashi/racedetail/2220250101010010/?pageType=result,2026-08-31T05:30:23.202551+00:00
