race_id,race_date,track,race_no,participate,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells,first_gap,line_strength_spread
8120240318010006,2024-03-18,小倉競輪,6,1,1-2,1-2-7,2-3-4-7,3,2,6,0,1,0,0,9,10.68775812393632,2.6899999999999977
8120240318010007,2024-03-18,小倉競輪,7,0,2,2-3-7,1-3-4-7,2,4,5,1,0,0,0,8,24.460250212243736,14.425000000000011
8120240318010008,2024-03-18,小倉競輪,8,1,1-7,1-2-7,2-3-4-5,2,5,7,0,0,0,0,9,9.378894738005343,11.190000000000012
8120240318010009,2024-03-18,小倉競輪,9,1,3,3-7,1-2-7,3,7,1,1,1,1,1,6,27.939589243637784,4.9683333333333195
8120240318010010,2024-03-18,小倉競輪,10,1,1,1-5,2-3-4,5,3,1,0,0,0,0,6,38.76235244436504,7.423333333333332
8120240318010011,2024-03-18,小倉競輪,11,1,1-4,1-4,2-3-4-7,4,1,3,1,1,1,1,8,11.523617702469664,20.11166666666668
8120240318010012,2024-03-18,小倉競輪,12,1,4-7,1-3-7,1-3-7,1,7,6,0,1,0,0,8,8.185863554308412,31.86500000000001
3520240318010008,2024-03-18,平塚競輪,8,0,1,3-4-5,2-3-4-5,7,1,4,0,0,1,0,8,37.40081057365544,16.701666666666654
3520240318010009,2024-03-18,平塚競輪,9,0,1,4-7,2-3-4-7,3,5,2,0,0,1,0,7,24.178550252046563,21.683333333333323
3520240318010010,2024-03-18,平塚競輪,10,1,1,2-7,2-3-4-5,4,3,5,0,0,1,0,7,42.782421488848044,8.818333333333342
3520240318010011,2024-03-18,平塚競輪,11,1,1,5-7,4-5-7,4,5,6,0,1,0,0,6,20.378130146947868,7.603333333333339
3520240318010012,2024-03-18,平塚競輪,12,0,1,1-5-7,2-4-5-7,1,5,3,1,1,0,0,8,49.77382083264399,21.25333333333336
7420240317020006,2024-03-18,高知競輪,6,1,1-2,2-3-4,3-4-5,1,7,5,1,0,1,0,8,15.442104542891371,9.038333333333327
7420240317020007,2024-03-18,高知競輪,7,1,1,1-3-7,2-3-5,1,7,5,1,1,1,1,7,59.739505789654565,8.280000000000001
7420240317020008,2024-03-18,高知競輪,8,1,1-7,1-4-7,2-3-4-7,4,7,1,0,1,0,0,9,5.5891039533005795,12.343333333333334
7420240317020009,2024-03-18,高知競輪,9,1,1-7,4-7,2-3-4-7,7,1,5,1,0,0,0,8,3.2112557950783867,15.52666666666667
7420240317020010,2024-03-18,高知競輪,10,0,1,3-7,2-5-7,3,5,4,0,0,0,0,6,23.611038087204932,13.524999999999991
7420240317020011,2024-03-18,高知競輪,11,1,1,1-3-4,2-3-4-5,1,3,5,1,1,1,1,8,24.82192909238934,8.61499999999998
7420240317020012,2024-03-18,高知競輪,12,1,1,1-3-7,2-3-4,1,4,6,1,0,0,0,7,21.36812394712598,12.881666666666675
8120240318020006,2024-03-19,小倉競輪,6,1,2-7,3-7,2-4-5,7,2,3,1,0,0,0,7,9.114120012581864,7.203333333333333
8120240318020007,2024-03-19,小倉競輪,7,1,2-3,2-3-7,2-4-5-7,3,7,6,1,1,0,0,9,3.6133082298871244,0.6049999999999898
8120240318020008,2024-03-19,小倉競輪,8,1,1-2,1-2-7,2-3-4-6,4,7,5,0,1,0,0,9,16.400956936110717,12.178333333333342
8120240318020009,2024-03-19,小倉競輪,9,1,3-7,3-7,4-5-7,6,4,2,0,0,0,0,7,8.246464439652271,16.984999999999985
8120240318020010,2024-03-19,小倉競輪,10,1,2,1-5-7,1-4-5-7,5,1,7,0,1,1,0,8,47.6394414969833,8.480000000000018
8120240318020011,2024-03-19,小倉競輪,11,1,1-2,2-4,3-4-5-7,1,2,7,1,1,1,1,8,4.9082763747293825,29.960000000000008
8120240318020012,2024-03-19,小倉競輪,12,1,1-2,1-4-5,4-5-7,5,2,1,0,0,0,0,8,2.2715401354015796,21.959999999999994
