race_id,race_date,track,race_no,race_type,ticket_type,bet_code,combination,payout_yen,popularity,status,result_source_url,result_source,captured_at_utc,raw_text
1120250929030006,2025-10-01,函館競輪,6,Ｓ級一般,2車単,exacta,7-1,3300,13,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:05.021217+00:00,"7-1 3,300円 (13)"
1120250929030006,2025-10-01,函館競輪,6,Ｓ級一般,2枠単,frame_exacta,,,,not_offered,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:05.021217+00:00,未発売
1120250929030006,2025-10-01,函館競輪,6,Ｓ級一般,2枠複,frame_quinella,,,,not_offered,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:05.021217+00:00,未発売
1120250929030006,2025-10-01,函館競輪,6,Ｓ級一般,2車複,quinella,1=7,870,4,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:05.021217+00:00,1=7 870円 (4)
1120250929030006,2025-10-01,函館競輪,6,Ｓ級一般,3連単,trifecta,7-1-2,11120,46,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:05.021217+00:00,"7-1-2 11,120円 (46)"
1120250929030006,2025-10-01,函館競輪,6,Ｓ級一般,3連複,trio,1=2=7,1440,6,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:05.021217+00:00,"1=2=7 1,440円 (6)"
1120250929030006,2025-10-01,函館競輪,6,Ｓ級一般,ワイド,wide,1=2,520,8,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:05.021217+00:00,1=2 520円 (8)
1120250929030006,2025-10-01,函館競輪,6,Ｓ級一般,ワイド,wide,1=7,460,7,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:05.021217+00:00,1=7 460円 (7)
1120250929030006,2025-10-01,函館競輪,6,Ｓ級一般,ワイド,wide,2=7,660,9,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:05.021217+00:00,2=7 660円 (9)
1120250929030007,2025-10-01,函館競輪,7,Ｓ級一般,2車単,exacta,5-1,420,2,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:07.350189+00:00,5-1 420円 (2)
1120250929030007,2025-10-01,函館競輪,7,Ｓ級一般,2枠単,frame_exacta,,,,not_offered,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:07.350189+00:00,未発売
1120250929030007,2025-10-01,函館競輪,7,Ｓ級一般,2枠複,frame_quinella,,,,not_offered,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:07.350189+00:00,未発売
1120250929030007,2025-10-01,函館競輪,7,Ｓ級一般,2車複,quinella,1=5,180,1,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:07.350189+00:00,1=5 180円 (1)
1120250929030007,2025-10-01,函館競輪,7,Ｓ級一般,3連単,trifecta,5-1-2,1680,3,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:07.350189+00:00,"5-1-2 1,680円 (3)"
1120250929030007,2025-10-01,函館競輪,7,Ｓ級一般,3連複,trio,1=2=5,450,1,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:07.350189+00:00,1=2=5 450円 (1)
1120250929030007,2025-10-01,函館競輪,7,Ｓ級一般,ワイド,wide,1=2,300,5,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:07.350189+00:00,1=2 300円 (5)
1120250929030007,2025-10-01,函館競輪,7,Ｓ級一般,ワイド,wide,1=5,130,1,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:07.350189+00:00,1=5 130円 (1)
1120250929030007,2025-10-01,函館競輪,7,Ｓ級一般,ワイド,wide,2=5,190,2,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:07.350189+00:00,2=5 190円 (2)
1120250929030008,2025-10-01,函館競輪,8,Ｓ級特選,2車単,exacta,1-2,2090,7,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:08.834659+00:00,"1-2 2,090円 (7)"
1120250929030008,2025-10-01,函館競輪,8,Ｓ級特選,2枠単,frame_exacta,,,,not_offered,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:08.834659+00:00,未発売
1120250929030008,2025-10-01,函館競輪,8,Ｓ級特選,2枠複,frame_quinella,,,,not_offered,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:08.834659+00:00,未発売
1120250929030008,2025-10-01,函館競輪,8,Ｓ級特選,2車複,quinella,1=2,1410,6,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:08.834659+00:00,"1=2 1,410円 (6)"
1120250929030008,2025-10-01,函館競輪,8,Ｓ級特選,3連単,trifecta,1-2-7,8790,29,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:08.834659+00:00,"1-2-7 8,790円 (29)"
1120250929030008,2025-10-01,函館競輪,8,Ｓ級特選,3連複,trio,1=2=7,1890,7,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:08.834659+00:00,"1=2=7 1,890円 (7)"
1120250929030008,2025-10-01,函館競輪,8,Ｓ級特選,ワイド,wide,1=2,250,4,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:08.834659+00:00,1=2 250円 (4)
1120250929030008,2025-10-01,函館競輪,8,Ｓ級特選,ワイド,wide,1=7,150,1,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:08.834659+00:00,1=7 150円 (1)
1120250929030008,2025-10-01,函館競輪,8,Ｓ級特選,ワイド,wide,2=7,1360,16,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:08.834659+00:00,"2=7 1,360円 (16)"
1120250929030009,2025-10-01,函館競輪,9,Ｓ級特選,2車単,exacta,7-4,370,2,paid,https://keirin.kdreams.jp/hakodate/racedetail/1120250929030009/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:21:10.311212+00:00,7-4 370円 (2)
