race_id,race_date,track,race_no,race_type,odds_source_url,error
8520251006010009,2025-10-06,佐世保競輪,9,Ｓ級予選,https://keirin.kdreams.jp/sasebo/racedetail/8520251006010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [7]; found=[1, 2, 3, 4, 5, 6]"
7320251020030005,2025-10-22,小松島競輪,5,Ｓ級一般,https://keirin.kdreams.jp/komatsushima/racedetail/7320251020030005/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [6]; found=[1, 2, 3, 4, 5, 7]"
6120251026020006,2025-10-27,玉野競輪,6,Ｓ級一般,https://keirin.kdreams.jp/tamano/racedetail/6120251026020006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2, 7]; found=[1, 3, 4, 5, 6]"
2620251028020008,2025-10-29,西武園競輪,8,Ｓ級一般,https://keirin.kdreams.jp/seibuen/racedetail/2620251028020008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [1]; found=[2, 3, 4, 5, 6, 7]"
8420251111020007,2025-11-12,武雄競輪,7,Ｓ級一般,https://keirin.kdreams.jp/takeo/racedetail/8420251111020007/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
7320251112020006,2025-11-13,小松島競輪,6,Ｓ級一般,https://keirin.kdreams.jp/komatsushima/racedetail/7320251112020006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
2320251203010011,2025-12-03,取手競輪,11,Ｓ級予選,https://keirin.kdreams.jp/toride/racedetail/2320251203010011/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [6]; found=[1, 2, 3, 4, 5, 7]"
8620251215030005,2025-12-17,別府競輪,5,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620251215030005/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6]"
2520251217020008,2025-12-18,大宮競輪,8,Ｓ級一般,https://keirin.kdreams.jp/omiya/racedetail/2520251217020008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [4]; found=[1, 2, 3, 5, 6, 7]"
4720251217020011,2025-12-18,松阪競輪,11,Ｓ級準決勝,https://keirin.kdreams.jp/matsusaka/racedetail/4720251217020011/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [7]; found=[1, 2, 3, 4, 5, 6]"
