race_id,race_date,track,meeting_grade,race_no,race_type,start_time,deadline,entry_count,source_url,captured_at_utc,predicted_line_formation,line_status,line_provider,line_source
5620250401010006,2025-04-01,岸和田競輪,F1,6,Ｓ級予選,13:09,13:04,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=result,2026-08-31T05:33:00.000207+00:00,4-2/1-5-6/7-3,published,競輪研究,楽天Kドリームス 並び予想
5620250401010007,2025-04-01,岸和田競輪,F1,7,Ｓ級予選,13:38,13:33,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010007/?pageType=result,2026-08-31T05:33:01.628496+00:00,5-1-6/3-7/2-4,published,競輪研究,楽天Kドリームス 並び予想
5620250401010008,2025-04-01,岸和田競輪,F1,8,Ｓ級予選,14:07,14:02,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010008/?pageType=result,2026-08-31T05:33:03.181752+00:00,1-5/7-3-6/4-2,published,競輪研究,楽天Kドリームス 並び予想
5620250401010009,2025-04-01,岸和田競輪,F1,9,Ｓ級予選,14:36,14:31,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010009/?pageType=result,2026-08-31T05:33:04.762146+00:00,5-1/7-2/3-4-6,published,競輪研究,楽天Kドリームス 並び予想
5620250401010010,2025-04-01,岸和田競輪,F1,10,Ｓ級予選,15:07,15:02,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010010/?pageType=result,2026-08-31T05:33:06.414174+00:00,4-1/2-7-5/3-6,published,競輪研究,楽天Kドリームス 並び予想
5620250401010011,2025-04-01,岸和田競輪,F1,11,Ｓ級予選,15:38,15:33,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010011/?pageType=result,2026-08-31T05:33:07.972809+00:00,7-5-1/6-2/4-3,published,競輪研究,楽天Kドリームス 並び予想
5620250401010012,2025-04-01,岸和田競輪,F1,12,Ｓ級初特選,16:10,16:05,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010012/?pageType=result,2026-08-31T05:33:09.598775+00:00,2-4-7/5-1/6-3,published,競輪研究,楽天Kドリームス 並び予想
3520250401010006,2025-04-01,平塚競輪,F1,6,Ｓ級予選,17:52,17:47,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520250401010006/?pageType=result,2026-08-31T05:32:19.558383+00:00,6-3/1-4-7/2-5,published,小田競・サイクル,楽天Kドリームス 並び予想
3520250401010007,2025-04-01,平塚競輪,F1,7,Ｓ級予選,18:16,18:11,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520250401010007/?pageType=result,2026-08-31T05:32:22.167132+00:00,4-1/2-6/7-5-3,published,小田競・サイクル,楽天Kドリームス 並び予想
3520250401010008,2025-04-01,平塚競輪,F1,8,Ｓ級予選,18:41,18:36,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520250401010008/?pageType=result,2026-08-31T05:32:23.904028+00:00,1-5-6/7-2/3-4,published,小田競・サイクル,楽天Kドリームス 並び予想
