race_id,race_date,track,race_no,race_type,car_no,player_name,finish_position,finish_text,margin,last200,winning_method,sb,result_comment,result_source_url,result_source,captured_at_utc,raw_row_json
5620250401010006,2025-04-01,岸和田競輪,6,Ｓ級予選,1,土生 敦弘,1,1,,11.0,捲,,捲の上を捲,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:06:42.015832+00:00,"{""cells"": [""×"", ""1"", ""1"", ""土生 敦弘"", """", ""11.0"", ""捲"", """", ""捲の上を捲""], ""row_class"": []}"
5620250401010006,2025-04-01,岸和田競輪,6,Ｓ級予選,2,金成 和幸,3,3,１/２車輪,11.4,,,先行のハコ,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:06:42.015832+00:00,"{""cells"": [""△"", ""3"", ""2"", ""金成 和幸"", ""１/２車輪"", ""11.4"", """", """", ""先行のハコ""], ""row_class"": []}"
5620250401010006,2025-04-01,岸和田競輪,6,Ｓ級予選,3,田中 誠,7,7,１/２車身,11.4,,,目標が不発,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:06:42.015832+00:00,"{""cells"": [""○"", ""7"", ""3"", ""田中 誠"", ""１/２車身"", ""11.4"", """", """", ""目標が不発""], ""row_class"": []}"
5620250401010006,2025-04-01,岸和田競輪,6,Ｓ級予選,4,邊見 光輝,2,2,１車輪,11.5,逃,B,捲られ逃粘,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:06:42.015832+00:00,"{""cells"": [""▲"", ""2"", ""4"", ""邊見 光輝"", ""１車輪"", ""11.5"", ""逃"", ""B"", ""捲られ逃粘""], ""row_class"": []}"
5620250401010006,2025-04-01,岸和田競輪,6,Ｓ級予選,5,栗山 俊介,4,4,１/２車身,10.9,,S,前は１着も,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:06:42.015832+00:00,"{""cells"": [""注"", ""4"", ""5"", ""栗山 俊介"", ""１/２車身"", ""10.9"", """", ""S"", ""前は１着も""], ""row_class"": []}"
5620250401010006,2025-04-01,岸和田競輪,6,Ｓ級予選,6,佐藤 成人,5,5,３/４車輪,10.9,,,ＢＳ最後方,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:06:42.015832+00:00,"{""cells"": ["""", ""5"", ""6"", ""佐藤 成人"", ""３/４車輪"", ""10.9"", """", """", ""ＢＳ最後方""], ""row_class"": []}"
5620250401010006,2025-04-01,岸和田競輪,6,Ｓ級予選,7,青柳 靖起,6,6,３/４車身,11.5,,,捲り進まず,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:06:42.015832+00:00,"{""cells"": [""◎"", ""6"", ""7"", ""青柳 靖起"", ""３/４車身"", ""11.5"", """", """", ""捲り進まず""], ""row_class"": []}"
5620250401010007,2025-04-01,岸和田競輪,7,Ｓ級予選,1,渡部 哲男,1,1,,11.5,差,S,捲りを差す,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:06:44.537728+00:00,"{""cells"": [""○"", ""1"", ""1"", ""渡部 哲男"", """", ""11.5"", ""差"", ""S"", ""捲りを差す""], ""row_class"": []}"
5620250401010007,2025-04-01,岸和田競輪,7,Ｓ級予選,2,仲野 結音,4,4,１/２車身,11.4,,,仕掛機なく,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:06:44.537728+00:00,"{""cells"": [""▲"", ""4"", ""2"", ""仲野 結音"", ""１/２車身"", ""11.4"", """", """", ""仕掛機なく""], ""row_class"": []}"
5620250401010007,2025-04-01,岸和田競輪,7,Ｓ級予選,3,松崎 広太,3,3,３/４車身,11.5,,,捲られ逃粘,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T07:06:44.537728+00:00,"{""cells"": [""×"", ""3"", ""3"", ""松崎 広太"", ""３/４車身"", ""11.5"", """", """", ""捲られ逃粘""], ""row_class"": []}"
