race_id,race_date,track,meeting_grade,race_no,race_type,start_time,deadline,source_url,captured_at_utc,car_no,player_name,player_profile,prefecture,age,term,class,style,gear,score,s_count,b_count,nige_count,makuri_count,sashi_count,mark_count,first_count,second_count,third_count,outside_count,win_rate,top2_rate,top3_rate,prediction_mark,evaluation,raw_row_json
5620250401010006,2025-04-01,岸和田競輪,F1,6,Ｓ級予選,13:09,13:04,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=result,2026-08-31T05:33:00.000207+00:00,1,土生 敦弘,大 阪/26/117,大阪,26,117,S2,逃,3.92,99.61,0,7,1,5,1,0,4,3,2,17,15.3,26.9,34.6,×,4,"{""cells"": [""×"", """", ""4"", ""1"", ""1"", ""土生 敦弘 大 阪/26/117"", ""S2"", ""逃"", ""3.92"", ""99.61"", ""0"", ""7"", ""1"", ""5"", ""1"", ""0"", ""4"", ""3"", ""2"", ""17"", ""15.3"", ""26.9"", ""34.6""], ""row_class"": [""n1""]}"
5620250401010006,2025-04-01,岸和田競輪,F1,6,Ｓ級予選,13:09,13:04,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=result,2026-08-31T05:33:00.000207+00:00,2,金成 和幸,福 島/46/88,福島,46,88,S2,追,3.92,96.93,0,0,0,0,3,1,2,2,8,18,6.6,13.3,40.0,△,5,"{""cells"": [""△"", """", ""5"", ""2"", ""2"", ""金成 和幸 福 島/46/88"", ""S2"", ""追"", ""3.92"", ""96.93"", ""0"", ""0"", ""0"", ""0"", ""3"", ""1"", ""2"", ""2"", ""8"", ""18"", ""6.6"", ""13.3"", ""40.0""], ""row_class"": [""n2""]}"
5620250401010006,2025-04-01,岸和田競輪,F1,6,Ｓ級予選,13:09,13:04,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=result,2026-08-31T05:33:00.000207+00:00,3,田中 誠,福 岡/41/89,福岡,41,89,S2,追,3.92,102.66,0,0,0,0,3,4,2,5,4,9,10.0,35.0,55.0,○,4,"{""cells"": [""○"", """", ""4"", ""3"", ""3"", ""田中 誠 福 岡/41/89"", ""S2"", ""追"", ""3.92"", ""102.66"", ""0"", ""0"", ""0"", ""0"", ""3"", ""4"", ""2"", ""5"", ""4"", ""9"", ""10.0"", ""35.0"", ""55.0""], ""row_class"": [""n3""]}"
5620250401010006,2025-04-01,岸和田競輪,F1,6,Ｓ級予選,13:09,13:04,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=result,2026-08-31T05:33:00.000207+00:00,4,邊見 光輝,福 島/23/119,福島,23,119,S2,逃,3.92,97.00,4,12,6,1,0,0,3,4,2,13,13.6,31.8,40.9,▲,5,"{""cells"": [""▲"", """", ""5"", ""4"", ""4"", ""邊見 光輝 福 島/23/119"", ""S2"", ""逃"", ""3.92"", ""97.00"", ""4"", ""12"", ""6"", ""1"", ""0"", ""0"", ""3"", ""4"", ""2"", ""13"", ""13.6"", ""31.8"", ""40.9""], ""row_class"": [""n4""]}"
5620250401010006,2025-04-01,岸和田競輪,F1,6,Ｓ級予選,13:09,13:04,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=result,2026-08-31T05:33:00.000207+00:00,5,栗山 俊介,奈 良/36/103,奈良,36,103,S2,両,3.92,101.04,1,0,0,0,1,3,1,3,5,12,4.7,19.0,42.8,注,4,"{""cells"": [""注"", """", ""4"", ""5"", ""5"", ""栗山 俊介 奈 良/36/103"", ""S2"", ""両"", ""3.92"", ""101.04"", ""1"", ""0"", ""0"", ""0"", ""1"", ""3"", ""1"", ""3"", ""5"", ""12"", ""4.7"", ""19.0"", ""42.8""], ""row_class"": [""n5""]}"
5620250401010006,2025-04-01,岸和田競輪,F1,6,Ｓ級予選,13:09,13:04,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=result,2026-08-31T05:33:00.000207+00:00,6,佐藤 成人,奈 良/51/71,奈良,51,71,S2,追,3.92,96.69,0,0,0,0,2,2,2,2,2,17,8.6,17.3,26.0,,5,"{""cells"": ["""", """", ""5"", ""6"", ""6"", ""佐藤 成人 奈 良/51/71"", ""S2"", ""追"", ""3.92"", ""96.69"", ""0"", ""0"", ""0"", ""0"", ""2"", ""2"", ""2"", ""2"", ""2"", ""17"", ""8.6"", ""17.3"", ""26.0""], ""row_class"": [""n6""]}"
5620250401010006,2025-04-01,岸和田競輪,F1,6,Ｓ級予選,13:09,13:04,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010006/?pageType=result,2026-08-31T05:33:00.000207+00:00,7,青柳 靖起,佐 賀/25/117,佐賀,25,117,S2,逃,3.92,102.66,0,14,7,3,2,1,8,5,2,15,26.6,43.3,50.0,◎,4,"{""cells"": [""◎"", """", ""4"", ""7"", ""青柳 靖起 佐 賀/25/117"", ""S2"", ""逃"", ""3.92"", ""102.66"", ""0"", ""14"", ""7"", ""3"", ""2"", ""1"", ""8"", ""5"", ""2"", ""15"", ""26.6"", ""43.3"", ""50.0""], ""row_class"": [""n7""]}"
5620250401010007,2025-04-01,岸和田競輪,F1,7,Ｓ級予選,13:38,13:33,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010007/?pageType=result,2026-08-31T05:33:01.628496+00:00,1,渡部 哲男,愛 媛/45/84,愛媛,45,84,S1,追,3.92,105.55,0,0,0,1,5,0,5,1,2,12,25.0,30.0,40.0,○,3,"{""cells"": [""○"", """", ""3"", ""1"", ""1"", ""渡部 哲男 愛 媛/45/84"", ""S1"", ""追"", ""3.92"", ""105.55"", ""0"", ""0"", ""0"", ""1"", ""5"", ""0"", ""5"", ""1"", ""2"", ""12"", ""25.0"", ""30.0"", ""40.0""], ""row_class"": [""n1""]}"
5620250401010007,2025-04-01,岸和田競輪,F1,7,Ｓ級予選,13:38,13:33,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010007/?pageType=result,2026-08-31T05:33:01.628496+00:00,2,仲野 結音,大 阪/25/117,大阪,25,117,S1,逃,3.92,94.79,0,3,0,3,0,0,2,1,2,19,8.3,12.5,20.8,▲,6,"{""cells"": [""▲"", """", ""6"", ""2"", ""2"", ""仲野 結音 大 阪/25/117"", ""S1"", ""逃"", ""3.92"", ""94.79"", ""0"", ""3"", ""0"", ""3"", ""0"", ""0"", ""2"", ""1"", ""2"", ""19"", ""8.3"", ""12.5"", ""20.8""], ""row_class"": [""n2""]}"
5620250401010007,2025-04-01,岸和田競輪,F1,7,Ｓ級予選,13:38,13:33,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010007/?pageType=result,2026-08-31T05:33:01.628496+00:00,3,松崎 広太,茨 城/25/123,茨城,25,123,S2,逃,3.92,102.05,10,12,4,3,0,0,5,2,3,11,23.8,33.3,47.6,×,4,"{""cells"": [""×"", """", ""4"", ""3"", ""3"", ""松崎 広太 茨 城/25/123"", ""S2"", ""逃"", ""3.92"", ""102.05"", ""10"", ""12"", ""4"", ""3"", ""0"", ""0"", ""5"", ""2"", ""3"", ""11"", ""23.8"", ""33.3"", ""47.6""], ""row_class"": [""n3""]}"
5620250401010007,2025-04-01,岸和田競輪,F1,7,Ｓ級予選,13:38,13:33,https://keirin.kdreams.jp/kishiwada/racedetail/5620250401010007/?pageType=result,2026-08-31T05:33:01.628496+00:00,4,鷲田 幸司,福 井/39/92,福井,39,92,S2,追,3.92,100.52,2,0,0,0,4,1,2,3,3,12,10.0,25.0,40.0,△,4,"{""cells"": [""△"", """", ""4"", ""4"", ""4"", ""鷲田 幸司 福 井/39/92"", ""S2"", ""追"", ""3.92"", ""100.52"", ""2"", ""0"", ""0"", ""0"", ""4"", ""1"", ""2"", ""3"", ""3"", ""12"", ""10.0"", ""25.0"", ""40.0""], ""row_class"": [""n4""]}"
