race_id,race_date,track,race_no,actual_1st,v11_top1,v11_hit,v12_top1,v12_hit,v13_switch,v13_top1,v13_hit,score_gap12,score_gap13,raw_gap12,avg_pair_margin_top1,worst_pair_margin_top1,pair_margin_sd_top1,rerank_alt_advantage
8320240413030005,2024-04-15,久留米競輪,5,5,5,1,7,0,1,7,0,24.538119420485486,45.10691760413527,2.225854867827521,6.159149805064162,4.216116948746836,1.283217034300592,18.46583750640037
8320240413030006,2024-04-15,久留米競輪,6,7,7,1,4,0,1,4,0,14.802015801822009,28.800841026632412,0.5375956216448916,3.9076212931660885,2.7655592623322214,0.9258932161146421,5.315446869568664
8320240413030007,2024-04-15,久留米競輪,7,3,5,0,4,0,1,4,0,9.680854096587666,20.524137301213912,0.874078540401543,5.079532462970799,3.569172602843002,1.117142299553133,8.419630915634448
8320240413030008,2024-04-15,久留米競輪,8,2,1,0,3,0,0,1,0,62.8503501184149,63.67588896934974,5.114438372590479,8.423492722412517,6.4309195356746285,1.1737788549240002,19.874905897298632
8320240413030009,2024-04-15,久留米競輪,9,3,1,0,4,0,1,4,0,0.47448219745422193,4.590445362319301,0.03214257020686606,5.791763076405113,4.620337271445711,0.7481788422238315,1.1311424368604492
8320240413030010,2024-04-15,久留米競輪,10,7,1,0,2,0,0,1,0,12.06155340152094,25.371479260664458,1.2557719377020549,7.541185909489876,6.547333551397657,0.8121303321710677,12.639775076656266
8320240413030012,2024-04-15,久留米競輪,12,2,7,0,4,0,0,7,0,26.770768169623366,58.89985027165286,2.017273172946913,9.317749066898205,7.027754532148272,1.6997684843542376,18.645271854965813
5420240415010008,2024-04-15,向日町競輪,8,7,2,0,7,1,0,2,0,13.557571545242851,48.58252999102223,1.8181116164750826,8.278308743867026,7.771864199053954,0.5486020270772028,20.84868336743911
5420240415010009,2024-04-15,向日町競輪,9,4,4,1,2,0,1,2,0,0.9698783662881709,45.59203644169879,0.08010127375544496,6.515457722386656,5.113637718793527,1.384662697307736,18.6976513490242
5420240415010010,2024-04-15,向日町競輪,10,7,7,1,4,0,1,4,0,23.990991879653023,24.541703900662327,2.043890147168069,6.584839119116273,4.8357165440000065,1.2931270922370537,10.016241718810393
5420240415010011,2024-04-15,向日町競輪,11,7,2,0,1,0,1,1,0,11.567709161220364,32.406076620521546,1.2212358393949918,6.933620831145592,4.58849962898888,1.662920804343283,14.741658482257666
5420240415010012,2024-04-15,向日町競輪,12,2,3,0,4,0,1,4,0,5.7922626078042185,29.928253229979376,0.28309768269784197,6.6329042388180905,4.918905038025494,1.2549314154261206,8.328280299296988
2520240415010006,2024-04-15,大宮競輪,6,6,5,0,1,0,0,5,0,28.89084994741458,47.869028766083396,3.970596989717535,10.041050761611919,8.44642600991993,0.9065838799117566,21.004053938115913
2520240415010007,2024-04-15,大宮競輪,7,4,7,0,4,1,1,4,1,8.67771422268872,19.130636075152694,0.597778232231069,4.561189669867227,3.3212316673949376,0.9924334080152125,6.365788796045632
2520240415010008,2024-04-15,大宮競輪,8,5,7,0,2,0,1,2,0,12.5771636210348,49.681053842466326,0.8607164656341029,6.365639880220801,4.010715021941328,1.6619567603686785,15.729369543510382
2520240415010009,2024-04-15,大宮競輪,9,4,4,1,2,0,0,4,1,3.664226210787291,19.968327205423236,0.3297183334565572,6.780556627303109,5.7710235448569165,0.8091930486597833,7.965980066049754
2520240415010010,2024-04-15,大宮競輪,10,5,1,0,2,0,1,2,0,10.384064259639459,48.09112767004966,1.0016839911320723,5.7965132255862715,5.016926129109956,0.6142197300238885,19.237783710832456
2520240415010011,2024-04-15,大宮競輪,11,4,4,1,5,0,0,4,1,32.32430274993344,33.64003288225439,3.615102272814579,7.398720466428364,6.345568790770118,0.7567789944269853,17.006035227648216
2520240415010012,2024-04-15,大宮競輪,12,4,2,0,5,0,0,2,0,35.93426969110561,56.22014356350643,2.6628497746003426,8.606240437490834,6.932705223655141,0.9007931577683616,19.17237765940411
5420240415020008,2024-04-16,向日町競輪,8,7,3,0,7,1,1,7,1,21.127659718190415,47.93343969109127,1.4307774730579679,4.622854037839572,3.430186266583093,0.8960155160974943,16.16706214224583
5420240415020009,2024-04-16,向日町競輪,9,7,1,0,3,0,1,3,0,13.941406871763547,17.415858797275533,1.2096966495925763,5.994777550935427,4.122472980908862,1.3468937823734088,6.0507916555861225
5420240415020010,2024-04-16,向日町競輪,10,3,2,0,3,1,0,2,0,9.60487260394504,31.45938803839391,0.9382510122252068,8.126427771930114,5.910484424722542,1.8446717808888837,14.110709243479143
5420240415020011,2024-04-16,向日町競輪,11,3,5,0,3,1,0,5,0,38.27247685433315,38.87598964863456,3.7144460254408846,8.132259071458686,6.31891560194582,1.3090911664729619,17.748686533608353
5420240415020012,2024-04-16,向日町競輪,12,1,1,1,2,0,0,1,1,24.31491999086957,39.19839085108667,3.0118503724102403,7.528722063373211,6.2397824113871545,1.390987010100631,18.421660820807848
4820240416010006,2024-04-16,四日市競輪,6,1,1,1,3,0,1,3,0,4.312783717581155,28.42970413837216,0.3483878015885775,5.3505298066330305,4.238514176846927,0.7580079878324132,11.393996986836486
4820240416010007,2024-04-16,四日市競輪,7,3,1,0,3,1,1,3,1,5.884165325867002,7.756926779212151,0.5607143737343128,5.777635588255489,3.82841014124347,1.9011669838166847,2.7890458207525812
4820240416010008,2024-04-16,四日市競輪,8,4,1,0,4,1,1,4,1,18.969465107836754,46.85760467732408,1.207242062157233,5.4398619486248485,4.198213016894325,0.7727369145794084,15.58638389575358
4820240416010009,2024-04-16,四日市競輪,9,7,5,0,3,0,1,3,0,10.584553346481258,51.70155947600972,0.5569702289537952,5.47313357405041,3.6787929894531395,1.042412107660365,14.594250496883927
