race_id,race_date,track,race_no,race_type,first_candidates,second_candidates,third_candidates,actual_1st,actual_1st_role,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells
2720240101010008,2024-01-01,京王閣競輪,8,Ｓ級予選,5,1-2-5,1-2-5-7,5,leader,2,7,1,1,1,1,8
2720240101010009,2024-01-01,京王閣競輪,9,Ｓ級予選,2-7,5-7,2-4-5-7,7,second,5,3,1,1,0,0,8
2720240101010010,2024-01-01,京王閣競輪,10,Ｓ級予選,1-5,1-5,1-3-5-7,1,second,5,3,1,1,1,1,8
2720240101010011,2024-01-01,京王閣競輪,11,Ｓ級予選,1-5,1-5,1-2-5-7,3,leader,5,2,0,1,1,0,8
2720240101010012,2024-01-01,京王閣競輪,12,Ｓ級初特選,5,2-3-5,2-3-5-7,6,leader,5,2,0,1,1,0,8
4420231231020007,2024-01-01,大垣競輪,7,Ｓ級一般,3-6,1-3,1-3-5-6,1,second,5,3,0,0,1,0,8
4420231231020008,2024-01-01,大垣競輪,8,Ｓ級選抜,1-4,1-2-4,1-2-3-4,1,leader,7,5,1,0,0,0,9
4420231231020010,2024-01-01,大垣競輪,10,Ｓ級準決勝,6,1-4-5,1-4-5-6,6,leader,4,5,1,1,1,1,8
4420231231020011,2024-01-01,大垣競輪,11,Ｓ級準決勝,3,2-3-4,1-2-3-4,3,leader,2,4,1,1,1,1,8
4420231231020012,2024-01-01,大垣競輪,12,Ｓ級準決勝,1-5,1-3-5,1-3-5,1,leader,5,3,1,1,1,1,8
5620231231020006,2024-01-01,岸和田競輪,6,Ｓ級予選２,3-5,3-5,2-3-5-7,3,second,5,2,1,1,1,1,8
5620231231020007,2024-01-01,岸和田競輪,7,Ｓ級予選２,1-2,1-5,1-2-4-5,5,leader,2,4,0,0,1,0,8
5620231231020008,2024-01-01,岸和田競輪,8,Ｓ級予選２,2-3,3-4-7,2-3-4-7,3,second,4,7,1,1,1,1,9
5620231231020009,2024-01-01,岸和田競輪,9,Ｓ級予選２,2-4,1-2-4,1-2-4-7,6,solo,2,7,0,1,1,0,9
5620231231020010,2024-01-01,岸和田競輪,10,Ｓ級予選２,4-5,1-4-5,1-2-4-5,5,second,3,7,1,0,0,0,9
5620231231020011,2024-01-01,岸和田競輪,11,Ｓ級予選２,7,4-5-7,4-5-7,4,leader,7,1,0,1,0,0,7
5620231231020012,2024-01-01,岸和田競輪,12,Ｓ級予選２,1-7,1-5,1-3-5-7,5,second,4,3,0,0,1,0,8
3520240101010006,2024-01-01,平塚競輪,6,Ｓ級予選１,1-5,1-5,1-3-4-5,5,second,7,6,1,0,0,0,8
3520240101010007,2024-01-01,平塚競輪,7,Ｓ級予選１,5-7,1-3-5,1-3-4-5,4,leader,3,5,0,1,1,0,9
3520240101010008,2024-01-01,平塚競輪,8,Ｓ級予選１,2-7,2-3-7,2-3-7,3,leader,7,1,0,1,0,0,8
3520240101010009,2024-01-01,平塚競輪,9,Ｓ級予選１,2-4,2-4,1-2-4-5,2,second,5,1,1,0,1,0,8
3520240101010010,2024-01-01,平塚競輪,10,Ｓ級予選１,1-7,1-7,1-2-5-7,1,second,7,5,1,1,1,1,8
3520240101010011,2024-01-01,平塚競輪,11,Ｓ級予選１,2,2-7,2-3-4-7,2,second,7,6,1,1,0,0,7
3520240101010012,2024-01-01,平塚競輪,12,Ｓ級初特選,4-7,1-7,1-2-4-7,7,leader,1,6,1,1,0,0,8
2720240101020008,2024-01-02,京王閣競輪,8,Ｓ級選抜,7,2-7,2-3-4-7,6,second,7,3,0,1,1,0,7
2720240101020009,2024-01-02,京王閣競輪,9,Ｓ級選抜,1-4,2-3-4,2-3-4-5,1,solo,7,3,1,0,1,0,9
2720240101020010,2024-01-02,京王閣競輪,10,Ｓ級準決勝,6,1-2-6,1-2-4-6,1,second,4,3,0,0,0,0,8
2720240101020011,2024-01-02,京王閣競輪,11,Ｓ級準決勝,4-7,2-4-7,2-3-4-7,1,solo,7,5,0,1,0,0,9
2720240101020012,2024-01-02,京王閣競輪,12,Ｓ級準決勝,3-5,2-3-5,2-3-5-6,5,second,2,4,1,1,0,0,9
4420231231030008,2024-01-02,大垣競輪,8,Ｓ級特選,1-3,3-4-7,3-4-5-7,7,leader,5,2,0,0,0,0,9
4420231231030009,2024-01-02,大垣競輪,9,Ｓ級特選,1,1-5-7,1-3-5-7,1,second,3,5,1,0,1,0,8
4420231231030010,2024-01-02,大垣競輪,10,Ｓ級特選,1-2,1-2-5,1-2-5-7,2,second,7,6,1,0,0,0,9
4420231231030012,2024-01-02,大垣競輪,12,Ｓ級決勝,6,1-5-7,1-3-5-7,1,leader,5,7,0,1,1,0,8
5620231231030006,2024-01-02,岸和田競輪,6,Ｓ級一般,5,4-5-7,4-5-7,5,leader,2,3,1,0,0,0,7
5620231231030007,2024-01-02,岸和田競輪,7,Ｓ級一般,6,1-5-6,1-5-6-7,5,leader,7,1,0,0,1,0,8
5620231231030008,2024-01-02,岸和田競輪,8,Ｓ級選抜,1-3,1-3-5,1-3-5-7,4,third_plus,3,7,0,1,1,0,9
5620231231030009,2024-01-02,岸和田競輪,9,Ｓ級選抜,5-7,3-5-7,3-5-7,3,second,4,7,0,0,1,0,8
5620231231030010,2024-01-02,岸和田競輪,10,Ｓ級準決勝,2-7,2-7,2-3-4-7,2,second,3,4,1,0,1,0,8
5620231231030011,2024-01-02,岸和田競輪,11,Ｓ級準決勝,1-3,1-2-7,1-3-4-7,7,leader,4,2,0,0,0,0,9
5620231231030012,2024-01-02,岸和田競輪,12,Ｓ級準決勝,1-7,1-2-4,1-2-3-4,1,leader,4,3,1,1,1,1,9
3520240101020006,2024-01-02,平塚競輪,6,Ｓ級予選２,3-7,2-3-7,2-3-7,3,second,5,2,1,0,1,0,8
3520240101020007,2024-01-02,平塚競輪,7,Ｓ級予選２,1-5,1-3-5,1-3-5-7,7,leader,3,4,0,1,0,0,9
3520240101020008,2024-01-02,平塚競輪,8,Ｓ級予選２,7,1-2-7,1-2-7,7,second,1,2,1,1,1,1,7
3520240101020009,2024-01-02,平塚競輪,9,Ｓ級予選２,5,1-4-5,1-2-4-5,2,leader,4,3,0,1,0,0,8
3520240101020010,2024-01-02,平塚競輪,10,Ｓ級予選２,1,1-5-6,1-4-5-6,5,second,1,2,0,1,0,0,8
3520240101020011,2024-01-02,平塚競輪,11,Ｓ級予選２,1,1-4-6,1-3-4-5,1,leader,4,3,1,1,1,1,8
3520240101020012,2024-01-02,平塚競輪,12,Ｓ級予選２,1-5,1-5-7,1-5-7,1,second,4,3,1,0,0,0,8
2720240101030008,2024-01-03,京王閣競輪,8,Ｓ級特選,7,2-3-7,1-2-3-7,7,leader,1,2,1,0,1,0,8
2720240101030009,2024-01-03,京王閣競輪,9,Ｓ級特選,3-7,3-7,2-3-7,3,second,5,6,1,0,0,0,7
2720240101030010,2024-01-03,京王閣競輪,10,Ｓ級特選,3-5,1-3-5,1-3-5-7,3,second,7,1,1,0,1,0,9
2720240101030012,2024-01-03,京王閣競輪,12,Ｓ級決勝,1-6,1-2-3,1-2-3-4,3,second,5,4,0,0,1,0,9
8620240103010007,2024-01-03,別府競輪,7,Ｓ級予選,1,1-2,1-2-5,5,leader,1,3,0,1,0,0,6
8620240103010008,2024-01-03,別府競輪,8,Ｓ級予選,6,2-6-7,2-6-7,7,second,2,4,0,1,0,0,7
8620240103010009,2024-01-03,別府競輪,9,Ｓ級予選,2-3,2-4-5,2-4-5,6,second,2,3,0,1,0,0,8
8620240103010010,2024-01-03,別府競輪,10,Ｓ級予選,7,2-7,2-3-4-7,1,third_plus,7,2,0,1,1,0,7
8620240103010011,2024-01-03,別府競輪,11,Ｓ級予選,1-5,3-5,1-3-5,3,leader,5,1,0,1,1,0,7
8620240103010012,2024-01-03,別府競輪,12,Ｓ級初特選,2-4,2-4,2-3-4-5,2,leader,1,5,1,0,1,0,8
5620231231040005,2024-01-03,岸和田競輪,5,Ｓ級一般,3,1-3-7,1-3-5-7,1,second,5,3,0,0,1,0,8
5620231231040006,2024-01-03,岸和田競輪,6,Ｓ級一般,2-7,2-3-7,2-3-7,2,leader,4,7,1,0,1,0,8
5620231231040007,2024-01-03,岸和田競輪,7,Ｓ級一般,1-3,3-4-6,1-3-4-5,1,solo,3,7,1,1,0,0,9
5620231231040009,2024-01-03,岸和田競輪,9,Ｓ級特選,3-6,2-3-7,1-2-3-4,7,second,3,5,0,1,0,0,9
5620231231040010,2024-01-03,岸和田競輪,10,Ｓ級特選,2-5,2-4-5,2-3-4-5,2,second,4,7,1,1,0,0,9
5620231231040011,2024-01-03,岸和田競輪,11,Ｓ級特選,4-6,2-4-5,2-3-4-5,5,leader,2,3,0,1,1,0,9
5620231231040012,2024-01-03,岸和田競輪,12,Ｓ級決勝,5-6,3-5-6,2-3-5-6,2,leader,1,4,0,0,0,0,9
3520240101030008,2024-01-03,平塚競輪,8,Ｓ級選抜,1-7,1-5,1-2-5,5,second,2,3,0,0,0,0,7
3520240101030009,2024-01-03,平塚競輪,9,Ｓ級選抜,3,3-4-7,3-4-5-7,5,second,3,2,0,1,0,0,8
3520240101030010,2024-01-03,平塚競輪,10,Ｓ級準決勝,3-7,1-5-7,1-3-5-7,3,leader,5,7,1,1,1,1,9
3520240101030011,2024-01-03,平塚競輪,11,Ｓ級準決勝,5,4-5-7,1-2-5-7,5,leader,4,3,1,1,0,0,8
3520240101030012,2024-01-03,平塚競輪,12,Ｓ級準決勝,2-5,2-3-5,2-5-7,4,leader,3,7,0,1,1,0,8
7420240103010008,2024-01-03,高知競輪,8,Ｓ級予選,3-5,1-3-5,1-2-3-5,2,leader,1,5,0,1,1,0,9
7420240103010009,2024-01-03,高知競輪,9,Ｓ級予選,1-4,1-4-5,1-4-5-7,2,solo,7,3,0,0,0,0,9
7420240103010010,2024-01-03,高知競輪,10,Ｓ級予選,5,1-6-7,1-5-6-7,1,second,7,4,0,1,0,0,8
7420240103010011,2024-01-03,高知競輪,11,Ｓ級予選,4-5,1-4-5,1-4-5-7,1,leader,4,6,0,1,0,0,9
7420240103010012,2024-01-03,高知競輪,12,Ｓ級初日特選,1-7,1-2-7,1-2-7,1,second,4,6,1,0,0,0,8
8620240103020008,2024-01-04,別府競輪,8,Ｓ級選抜,5,4-5,2-3-5-7,3,second,4,5,0,1,1,0,7
8620240103020009,2024-01-04,別府競輪,9,Ｓ級選抜,5,1-4-5,1-3-4-5,1,second,5,3,0,1,1,0,8
8620240103020010,2024-01-04,別府競輪,10,Ｓ級準決勝,3-6,2-3-6,1-2-3-6,6,leader,4,2,1,0,1,0,9
8620240103020011,2024-01-04,別府競輪,11,Ｓ級準決勝,4,2-4-7,2-4-5-7,2,third_plus,1,7,0,0,1,0,8
8620240103020012,2024-01-04,別府競輪,12,Ｓ級準決勝,1,1-3-4,1-3-4-5,1,leader,3,2,1,1,0,0,8
3520240101040007,2024-01-04,平塚競輪,7,Ｓ級一般,2,1-2-5,1-2-4-5,5,third_plus,2,6,0,1,0,0,8
3520240101040008,2024-01-04,平塚競輪,8,Ｓ級特選,6,1-6,1-2-3-6,1,second,4,6,0,0,1,0,7
3520240101040009,2024-01-04,平塚競輪,9,Ｓ級特選,2,3-4-7,3-4-5-7,5,second,1,6,0,0,0,0,8
3520240101040010,2024-01-04,平塚競輪,10,Ｓ級特選,2-6,2-3-4,2-3-4-7,3,leader,4,7,0,1,1,0,9
3520240101040012,2024-01-04,平塚競輪,12,Ｓ級決勝,3-5,1-4-6,1-3-4-5,4,leader,1,7,0,1,0,0,9
7420240103020009,2024-01-04,高知競輪,9,Ｓ級一般,2-7,1-2-4,1-2-4,2,second,5,1,1,0,1,0,8
7420240103020010,2024-01-04,高知競輪,10,Ｓ級準決勝,3-4,3-4,1-3-4-5,2,second,5,1,0,0,1,0,8
7420240103020011,2024-01-04,高知競輪,11,Ｓ級準決勝,2-5,1-4-5,1-2-4-5,5,second,3,2,1,0,1,0,9
7420240103020012,2024-01-04,高知競輪,12,Ｓ級準決勝,3-4,2-3-7,2-3-4-7,3,second,2,5,1,1,0,0,9
8620240103030008,2024-01-05,別府競輪,8,Ｓ級特選,5,1-4-5,1-3-4-5,4,second,1,2,0,1,0,0,8
8620240103030009,2024-01-05,別府競輪,9,Ｓ級特選,3-4,1-3-4,1-2-3-4,7,second,2,4,0,0,1,0,9
8620240103030010,2024-01-05,別府競輪,10,Ｓ級特選,2-4,2-3-4,1-2-3-4,2,leader,4,1,1,1,1,1,9
8620240103030012,2024-01-05,別府競輪,12,Ｓ級決勝,1,1-4-6,1-4-5-6,7,second,6,1,0,1,1,0,8
7420240103030008,2024-01-05,高知競輪,8,Ｓ級特選,1-4,2-7,2-3-7,5,third_plus,3,1,0,0,0,0,7
7420240103030009,2024-01-05,高知競輪,9,Ｓ級特選,1-3,2-6,1-2-5-6,1,leader,2,7,1,1,0,0,8
7420240103030012,2024-01-05,高知競輪,12,Ｓ級決勝,4-7,2-5-7,2-4-5-7,7,second,4,5,1,0,1,0,9
3720240106010006,2024-01-06,伊東競輪,6,Ｓ級予選,4-7,1-7,1-3-4-7,5,leader,7,1,0,1,1,0,8
3720240106010007,2024-01-06,伊東競輪,7,Ｓ級予選,1-7,1-4-5,1-4-5-7,7,leader,3,6,1,0,0,0,9
3720240106010008,2024-01-06,伊東競輪,8,Ｓ級予選,2-3,2-3-7,2-3-7,7,leader,4,2,0,0,1,0,8
3720240106010009,2024-01-06,伊東競輪,9,Ｓ級予選,1-4,1-4,1-3-4-7,1,leader,4,7,1,1,1,1,8
3720240106010010,2024-01-06,伊東競輪,10,Ｓ級予選,2,2-3-7,2-3-5-7,2,leader,5,4,1,0,0,0,8
3720240106010011,2024-01-06,伊東競輪,11,Ｓ級予選,3,2-3-5,2-3-4-5,3,leader,4,1,1,0,0,0,8
3720240106010012,2024-01-06,伊東競輪,12,Ｓ級初特選,1-6,3-4-5,1-3-5-6,3,leader,1,4,0,0,0,0,9
