race_id,race_date,track,race_no,race_type,odds_source_url,error
6120240402030006,2024-04-04,玉野競輪,6,Ｓ級一般,https://keirin.kdreams.jp/tamano/racedetail/6120240402030006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
8620240421010006,2024-04-21,別府競輪,6,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010006/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010007,2024-04-21,別府競輪,7,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010007/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010008,2024-04-21,別府競輪,8,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010009,2024-04-21,別府競輪,9,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010010,2024-04-21,別府競輪,10,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010010/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010011,2024-04-21,別府競輪,11,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010011/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010012,2024-04-21,別府競輪,12,Ｓ級初特選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010012/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421020006,2024-04-22,別府競輪,6,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240421020006/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421020007,2024-04-22,別府競輪,7,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240421020007/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421020008,2024-04-22,別府競輪,8,Ｓ級選抜,https://keirin.kdreams.jp/beppu/racedetail/8620240421020008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421020009,2024-04-22,別府競輪,9,Ｓ級選抜,https://keirin.kdreams.jp/beppu/racedetail/8620240421020009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421020010,2024-04-22,別府競輪,10,Ｓ級準決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240421020010/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421020011,2024-04-22,別府競輪,11,Ｓ級準決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240421020011/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421020012,2024-04-22,別府競輪,12,Ｓ級準決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240421020012/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
