race_id,race_date,track,meeting_grade,race_no,race_type,start_time,deadline,entry_count,source_url,captured_at_utc,predicted_line_formation,line_status,line_provider,line_source
7420260629030008,2026-07-01,高知競輪,F1,8,Ｓ級特選,14:11,14:06,7,https://keirin.kdreams.jp/kochi/racedetail/7420260629030008/?pageType=result,2026-09-17T01:05:02.289698+00:00,7-3-1/2-4-5/6,published,福ちゃん出版社,楽天Kドリームス 並び予想
7420260629030009,2026-07-01,高知競輪,F1,9,Ｓ級特選,14:39,14:34,7,https://keirin.kdreams.jp/kochi/racedetail/7420260629030009/?pageType=result,2026-09-17T01:05:05.039286+00:00,3-2/1/4-7-5/6,published,福ちゃん出版社,楽天Kドリームス 並び予想
7420260629030010,2026-07-01,高知競輪,F1,10,Ｓ級特選,15:07,15:02,7,https://keirin.kdreams.jp/kochi/racedetail/7420260629030010/?pageType=result,2026-09-17T01:05:06.975837+00:00,7-1/2-4-6/3-5,published,福ちゃん出版社,楽天Kドリームス 並び予想
7420260629030012,2026-07-01,高知競輪,F1,12,Ｓ級決勝,16:14,16:09,7,https://keirin.kdreams.jp/kochi/racedetail/7420260629030012/?pageType=result,2026-09-17T01:05:08.748078+00:00,2-7/1-4/6-3-5,published,福ちゃん出版社,楽天Kドリームス 並び予想
2520260701020007,2026-07-02,大宮競輪,F1,7,Ｓ級一般,13:32,13:27,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701020007/?pageType=result,2026-09-17T01:05:24.397385+00:00,7-1/2-5-4/6-3,published,アオケイ,楽天Kドリームス 並び予想
2520260701020008,2026-07-02,大宮競輪,F1,8,Ｓ級選抜,14:01,13:56,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701020008/?pageType=result,2026-09-17T01:05:26.010933+00:00,7-1-5/2/4/6-3,published,アオケイ,楽天Kドリームス 並び予想
2520260701020009,2026-07-02,大宮競輪,F1,9,Ｓ級選抜,14:31,14:26,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701020009/?pageType=result,2026-09-17T01:05:27.636071+00:00,1-7-6/4-3-5/2,published,アオケイ,楽天Kドリームス 並び予想
2520260701020010,2026-07-02,大宮競輪,F1,10,Ｓ級準決勝,15:01,14:56,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701020010/?pageType=result,2026-09-17T01:05:29.233673+00:00,4-1/2-7/5/3-6,published,アオケイ,楽天Kドリームス 並び予想
2520260701020011,2026-07-02,大宮競輪,F1,11,Ｓ級準決勝,15:32,15:27,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701020011/?pageType=result,2026-09-17T01:05:30.872385+00:00,1-5-4/2-7/3-6,published,アオケイ,楽天Kドリームス 並び予想
2520260701020012,2026-07-02,大宮競輪,F1,12,Ｓ級準決勝,16:03,15:58,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701020012/?pageType=result,2026-09-17T01:05:32.470407+00:00,1-4-6/2-5/7-3,published,アオケイ,楽天Kドリームス 並び予想
