race_id,race_date,track,race_no,race_type,start_time,deadline,entry_count,source_url,captured_at_utc,predicted_line_formation,line_status,line_provider,line_source
7320260103010010,2026-01-03,小松島競輪,10,Ｓ級予選,14:50,14:45,7,https://keirin.kdreams.jp/komatsushima/racedetail/7320260103010010/?pageType=result,2026-08-29T03:50:23.545096+00:00,3-7/4-1-6/5-2,published,競輪毎日,楽天Kドリームス 並び予想
7320260103010011,2026-01-03,小松島競輪,11,Ｓ級予選,15:22,15:17,7,https://keirin.kdreams.jp/komatsushima/racedetail/7320260103010011/?pageType=result,2026-08-29T03:50:25.722727+00:00,6-1-5/7-3/4-2,published,競輪毎日,楽天Kドリームス 並び予想
8320260106010008,2026-01-06,久留米競輪,8,Ｓ級予選,18:43,18:38,7,https://keirin.kdreams.jp/kurume/racedetail/8320260106010008/?pageType=result,2026-08-29T03:50:27.880806+00:00,5-1-6/4-2/7-3,published,コンドル出版社,楽天Kドリームス 並び予想
8320260106010009,2026-01-06,久留米競輪,9,Ｓ級予選,19:09,19:04,7,https://keirin.kdreams.jp/kurume/racedetail/8320260106010009/?pageType=result,2026-08-29T03:50:29.719873+00:00,1-5-6/2-4/3-7,published,コンドル出版社,楽天Kドリームス 並び予想
8320260106010010,2026-01-06,久留米競輪,10,Ｓ級予選,19:35,19:30,7,https://keirin.kdreams.jp/kurume/racedetail/8320260106010010/?pageType=result,2026-08-29T03:50:31.609101+00:00,1-7-4/5-2/3-6,published,コンドル出版社,楽天Kドリームス 並び予想
8320260106010011,2026-01-06,久留米競輪,11,Ｓ級予選,20:02,19:57,7,https://keirin.kdreams.jp/kurume/racedetail/8320260106010011/?pageType=result,2026-08-29T03:50:33.399810+00:00,5-3/4-7-1/2-6,published,コンドル出版社,楽天Kドリームス 並び予想
3520260108010006,2026-01-08,平塚競輪,6,Ｓ級予選,13:19,13:14,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260108010006/?pageType=result,2026-08-29T03:50:36.566100+00:00,5-2/1-4/3-7-6,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260108010007,2026-01-08,平塚競輪,7,Ｓ級予選,13:47,13:42,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260108010007/?pageType=result,2026-08-29T03:50:38.725989+00:00,5-3/1-7/6-2-4,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260108010008,2026-01-08,平塚競輪,8,Ｓ級予選,14:15,14:10,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260108010008/?pageType=result,2026-08-29T03:50:40.715307+00:00,5-1/2-4-6/7-3,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260108010009,2026-01-08,平塚競輪,9,Ｓ級予選,14:43,14:38,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260108010009/?pageType=result,2026-08-29T03:50:42.523139+00:00,1-4-5/7-3-2-6,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260108010010,2026-01-08,平塚競輪,10,Ｓ級予選,15:11,15:06,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260108010010/?pageType=result,2026-08-29T03:50:44.396881+00:00,1-7-2/4-3-5/6,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260108010011,2026-01-08,平塚競輪,11,Ｓ級予選,15:40,15:35,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260108010011/?pageType=result,2026-08-29T03:50:46.188183+00:00,1-7-4/2-6/5-3,published,小田競・サイクル,楽天Kドリームス 並び予想
2720260109010008,2026-01-09,京王閣競輪,8,Ｓ級予選,18:41,18:36,7,https://keirin.kdreams.jp/keiokaku/racedetail/2720260109010008/?pageType=result,2026-08-29T03:50:48.012163+00:00,4-1-6/7-2/3-5,published,アオケイ,楽天Kドリームス 並び予想
2720260109010009,2026-01-09,京王閣競輪,9,Ｓ級予選,19:07,19:02,7,https://keirin.kdreams.jp/keiokaku/racedetail/2720260109010009/?pageType=result,2026-08-29T03:50:49.838303+00:00,1-5-2-6/7-3-4,published,アオケイ,楽天Kドリームス 並び予想
2720260109010010,2026-01-09,京王閣競輪,10,Ｓ級予選,19:34,19:29,7,https://keirin.kdreams.jp/keiokaku/racedetail/2720260109010010/?pageType=result,2026-08-29T03:50:51.668229+00:00,1-5-4/7-2/3-6,published,アオケイ,楽天Kドリームス 並び予想
2720260109010011,2026-01-09,京王閣競輪,11,Ｓ級予選,20:02,19:57,7,https://keirin.kdreams.jp/keiokaku/racedetail/2720260109010011/?pageType=result,2026-08-29T03:50:53.524299+00:00,2-5/4-1/7-3/6,published,アオケイ,楽天Kドリームス 並び予想
2320260112010008,2026-01-12,取手競輪,8,Ｓ級予選,14:08,14:03,7,https://keirin.kdreams.jp/toride/racedetail/2320260112010008/?pageType=result,2026-08-29T03:51:08.382731+00:00,1-7/2-5/6-4-3,published,アオケイ,楽天Kドリームス 並び予想
2320260112010009,2026-01-12,取手競輪,9,Ｓ級予選,14:36,14:31,7,https://keirin.kdreams.jp/toride/racedetail/2320260112010009/?pageType=result,2026-08-29T03:51:10.275428+00:00,4-1/2-7/6/3-5,published,アオケイ,楽天Kドリームス 並び予想
2320260112010010,2026-01-12,取手競輪,10,Ｓ級予選,15:04,14:59,7,https://keirin.kdreams.jp/toride/racedetail/2320260112010010/?pageType=result,2026-08-29T03:51:12.121587+00:00,5-1/3-6/4-7-2,published,アオケイ,楽天Kドリームス 並び予想
2320260112010011,2026-01-12,取手競輪,11,Ｓ級予選,15:33,15:28,7,https://keirin.kdreams.jp/toride/racedetail/2320260112010011/?pageType=result,2026-08-29T03:51:15.313186+00:00,1-7/4/6-2/5-3,published,アオケイ,楽天Kドリームス 並び予想
4320260112010006,2026-01-12,岐阜競輪,6,Ｓ級予選,17:48,17:43,7,https://keirin.kdreams.jp/gifu/racedetail/4320260112010006/?pageType=result,2026-08-29T03:50:55.412967+00:00,4-1-6/2-5/3-7,published,中部競輪・ひかり,楽天Kドリームス 並び予想
4320260112010007,2026-01-12,岐阜競輪,7,Ｓ級予選,18:12,18:07,7,https://keirin.kdreams.jp/gifu/racedetail/4320260112010007/?pageType=result,2026-08-29T03:50:57.401378+00:00,5-1/2-4-7/3/6,published,中部競輪・ひかり,楽天Kドリームス 並び予想
4320260112010008,2026-01-12,岐阜競輪,8,Ｓ級予選,18:36,18:31,7,https://keirin.kdreams.jp/gifu/racedetail/4320260112010008/?pageType=result,2026-08-29T03:50:59.268478+00:00,7-2/1-4-6/3-5,published,中部競輪・ひかり,楽天Kドリームス 並び予想
4320260112010009,2026-01-12,岐阜競輪,9,Ｓ級予選,19:02,18:57,7,https://keirin.kdreams.jp/gifu/racedetail/4320260112010009/?pageType=result,2026-08-29T03:51:01.170811+00:00,2-4-6/1/3-7-5,published,中部競輪・ひかり,楽天Kドリームス 並び予想
4320260112010010,2026-01-12,岐阜競輪,10,Ｓ級予選,19:30,19:25,7,https://keirin.kdreams.jp/gifu/racedetail/4320260112010010/?pageType=result,2026-08-29T03:51:03.216052+00:00,6-1/5-3-2/4/7,published,中部競輪・ひかり,楽天Kドリームス 並び予想
4320260112010011,2026-01-12,岐阜競輪,11,Ｓ級予選,20:00,19:55,7,https://keirin.kdreams.jp/gifu/racedetail/4320260112010011/?pageType=result,2026-08-29T03:51:06.248869+00:00,1-4-7/5-2/3-6,published,中部競輪・ひかり,楽天Kドリームス 並び予想
4420260115010006,2026-01-15,大垣競輪,6,Ｓ級予選,13:13,13:08,7,https://keirin.kdreams.jp/ogaki/racedetail/4420260115010006/?pageType=result,2026-08-29T03:51:17.336730+00:00,1-4/5-2-7/6-3,published,ひかり,楽天Kドリームス 並び予想
4420260115010007,2026-01-15,大垣競輪,7,Ｓ級予選,13:40,13:35,7,https://keirin.kdreams.jp/ogaki/racedetail/4420260115010007/?pageType=result,2026-08-29T03:51:20.653065+00:00,5-2/1-7-4/3-6,published,ひかり,楽天Kドリームス 並び予想
4420260115010008,2026-01-15,大垣競輪,8,Ｓ級予選,14:09,14:04,7,https://keirin.kdreams.jp/ogaki/racedetail/4420260115010008/?pageType=result,2026-08-29T03:51:23.160295+00:00,7-1/5-2-6/3-4,published,ひかり,楽天Kドリームス 並び予想
4420260115010009,2026-01-15,大垣競輪,9,Ｓ級予選,14:39,14:34,7,https://keirin.kdreams.jp/ogaki/racedetail/4420260115010009/?pageType=result,2026-08-29T03:51:25.340391+00:00,2-7/1-6/4-3/5,published,ひかり,楽天Kドリームス 並び予想
4420260115010010,2026-01-15,大垣競輪,10,Ｓ級予選,15:11,15:06,7,https://keirin.kdreams.jp/ogaki/racedetail/4420260115010010/?pageType=result,2026-08-29T03:51:27.320879+00:00,2-4-7/6-1/5-3,published,ひかり,楽天Kドリームス 並び予想
4420260115010011,2026-01-15,大垣競輪,11,Ｓ級予選,15:45,15:40,7,https://keirin.kdreams.jp/ogaki/racedetail/4420260115010011/?pageType=result,2026-08-29T03:51:28.823548+00:00,3-5/2/1-7-6-4,published,ひかり,楽天Kドリームス 並び予想
6120260115010006,2026-01-15,玉野競輪,6,Ｓ級予選,17:53,17:48,7,https://keirin.kdreams.jp/tamano/racedetail/6120260115010006/?pageType=result,2026-08-29T03:51:30.703388+00:00,1-4-7/5-2/3-6,published,競輪毎日,楽天Kドリームス 並び予想
6120260115010007,2026-01-15,玉野競輪,7,Ｓ級予選,18:19,18:14,7,https://keirin.kdreams.jp/tamano/racedetail/6120260115010007/?pageType=result,2026-08-29T03:51:32.495322+00:00,3-1-6/5-2-4/7,published,競輪毎日,楽天Kドリームス 並び予想
6120260115010008,2026-01-15,玉野競輪,8,Ｓ級予選,18:45,18:40,7,https://keirin.kdreams.jp/tamano/racedetail/6120260115010008/?pageType=result,2026-08-29T03:51:35.824810+00:00,5-1/6/2-4-3-7,published,競輪毎日,楽天Kドリームス 並び予想
6120260115010009,2026-01-15,玉野競輪,9,Ｓ級予選,19:11,19:06,7,https://keirin.kdreams.jp/tamano/racedetail/6120260115010009/?pageType=result,2026-08-29T03:51:37.990780+00:00,5-1-4/2-6/7-3,published,競輪毎日,楽天Kドリームス 並び予想
6120260115010010,2026-01-15,玉野競輪,10,Ｓ級予選,19:37,19:32,7,https://keirin.kdreams.jp/tamano/racedetail/6120260115010010/?pageType=result,2026-08-29T03:51:39.948037+00:00,5-1-6/7-2/4-3,published,競輪毎日,楽天Kドリームス 並び予想
6120260115010011,2026-01-15,玉野競輪,11,Ｓ級予選,20:03,19:58,7,https://keirin.kdreams.jp/tamano/racedetail/6120260115010011/?pageType=result,2026-08-29T03:51:41.746003+00:00,1-4-6/2/3-5/7,published,競輪毎日,楽天Kドリームス 並び予想
8420260118010006,2026-01-18,武雄競輪,6,Ｓ級予選,17:52,17:47,7,https://keirin.kdreams.jp/takeo/racedetail/8420260118010006/?pageType=result,2026-08-29T03:51:43.562741+00:00,5-7-1/3/2-4-6,published,百万弗,楽天Kドリームス 並び予想
8420260118010007,2026-01-18,武雄競輪,7,Ｓ級予選,18:16,18:11,7,https://keirin.kdreams.jp/takeo/racedetail/8420260118010007/?pageType=result,2026-08-29T03:51:45.383701+00:00,4-1-7/6-2/5-3,published,百万弗,楽天Kドリームス 並び予想
8420260118010008,2026-01-18,武雄競輪,8,Ｓ級予選,18:41,18:36,7,https://keirin.kdreams.jp/takeo/racedetail/8420260118010008/?pageType=result,2026-08-29T03:51:47.213893+00:00,1-4/5-7-2/3-6,published,百万弗,楽天Kドリームス 並び予想
8420260118010009,2026-01-18,武雄競輪,9,Ｓ級予選,19:07,19:02,7,https://keirin.kdreams.jp/takeo/racedetail/8420260118010009/?pageType=result,2026-08-29T03:51:50.512273+00:00,5-1/2-4-6/7-3,published,百万弗,楽天Kドリームス 並び予想
8420260118010010,2026-01-18,武雄競輪,10,Ｓ級予選,19:34,19:29,7,https://keirin.kdreams.jp/takeo/racedetail/8420260118010010/?pageType=result,2026-08-29T03:51:52.753048+00:00,5-2/4-7-1/6-3,published,百万弗,楽天Kドリームス 並び予想
8420260118010011,2026-01-18,武雄競輪,11,Ｓ級予選,20:02,19:57,7,https://keirin.kdreams.jp/takeo/racedetail/8420260118010011/?pageType=result,2026-08-29T03:51:54.731012+00:00,7-1-4/6/5-2-3,published,百万弗,楽天Kドリームス 並び予想
2820260119010008,2026-01-19,立川競輪,8,Ｓ級予選,14:12,14:07,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820260119010008/?pageType=result,2026-08-29T03:51:58.074068+00:00,1-7/2-5/6-3/4,published,アオケイ,楽天Kドリームス 並び予想
2820260119010009,2026-01-19,立川競輪,9,Ｓ級予選,14:40,14:35,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820260119010009/?pageType=result,2026-08-29T03:52:00.258628+00:00,7-6-2/4-1/5-3,published,アオケイ,楽天Kドリームス 並び予想
