race_id,race_date,track,race_no,race_type,car_no,player_name,finish_position,finish_text,margin,last200,winning_method,sb,result_comment,result_source_url,result_source,captured_at_utc,raw_row_json
3720250101010009,2025-01-01,伊東競輪,9,Ｓ級予選,7,高橋 広大,6,6,１/４車輪,9.8,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010009/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:04.143342+00:00,"{""cells"": [""△"", ""6"", ""7"", ""高橋 広大"", ""１/４車輪"", ""9.8"", """", """", """"], ""row_class"": []}"
3720250101010010,2025-01-01,伊東競輪,10,Ｓ級予選,1,五日市 誠,1,1,,9.9,差,S,,https://keirin.kdreams.jp/ito/racedetail/3720250101010010/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:05.561479+00:00,"{""cells"": [""◎"", ""1"", ""1"", ""五日市 誠"", """", ""9.9"", ""差"", ""S"", """"], ""row_class"": []}"
3720250101010010,2025-01-01,伊東競輪,10,Ｓ級予選,2,武井 大介,5,5,３車身,9.9,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010010/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:05.561479+00:00,"{""cells"": ["""", ""5"", ""2"", ""武井 大介"", ""３車身"", ""9.9"", """", """", """"], ""row_class"": []}"
3720250101010010,2025-01-01,伊東競輪,10,Ｓ級予選,3,桑名 僚也,6,6,３/４車身,9.9,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010010/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:05.561479+00:00,"{""cells"": [""△"", ""6"", ""3"", ""桑名 僚也"", ""３/４車身"", ""9.9"", """", """", """"], ""row_class"": []}"
3720250101010010,2025-01-01,伊東競輪,10,Ｓ級予選,4,照井 拓成,2,2,１/４車輪,10.1,逃,B,,https://keirin.kdreams.jp/ito/racedetail/3720250101010010/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:05.561479+00:00,"{""cells"": [""○"", ""2"", ""4"", ""照井 拓成"", ""１/４車輪"", ""10.1"", ""逃"", ""B"", """"], ""row_class"": []}"
3720250101010010,2025-01-01,伊東競輪,10,Ｓ級予選,5,小林 則之,4,4,１/８車輪,9.8,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010010/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:05.561479+00:00,"{""cells"": [""×"", ""4"", ""5"", ""小林 則之"", ""１/８車輪"", ""9.8"", """", """", """"], ""row_class"": []}"
3720250101010010,2025-01-01,伊東競輪,10,Ｓ級予選,6,長谷部 翔,3,3,３/４車輪,9.7,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010010/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:05.561479+00:00,"{""cells"": [""注"", ""3"", ""6"", ""長谷部 翔"", ""３/４車輪"", ""9.7"", """", """", """"], ""row_class"": []}"
3720250101010010,2025-01-01,伊東競輪,10,Ｓ級予選,7,原田 泰志,7,7,３/４車身,9.9,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010010/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:05.561479+00:00,"{""cells"": ["""", ""7"", ""7"", ""原田 泰志"", ""３/４車身"", ""9.9"", """", """", """"], ""row_class"": []}"
3720250101010011,2025-01-01,伊東競輪,11,Ｓ級予選,1,格清 洋介,1,1,,9.6,捲,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010011/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:07.010058+00:00,"{""cells"": [""◎"", ""1"", ""1"", ""格清 洋介"", """", ""9.6"", ""捲"", """", """"], ""row_class"": []}"
3720250101010011,2025-01-01,伊東競輪,11,Ｓ級予選,2,天田 裕輝,3,3,１/２車身,9.8,,S,,https://keirin.kdreams.jp/ito/racedetail/3720250101010011/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:07.010058+00:00,"{""cells"": [""×"", ""3"", ""2"", ""天田 裕輝"", ""１/２車身"", ""9.8"", """", ""S"", """"], ""row_class"": []}"
